,0
0,27
1,87
2,96
3,85
4,18
5,64
6,28
7,30
8,36
9,77
10,68
11,17
12,51
13,72
14,100
15,55
16,99
17,44
18,76
19,79
20,28
21,75
22,98
23,52
24,33
25,92
26,72
27,86
28,71
29,51
30,35
31,68
32,64
33,29
34,65
35,43
36,1
37,33
38,66
39,56
40,79
41,59
42,27
43,85
44,83
45,85
46,43
47,82
48,6
49,63
50,78
51,89
52,13
53,99
54,91
55,20
56,28
57,13
58,53
59,87
60,51
61,31
62,95
63,44
64,73
65,26
66,93
67,12
68,85
69,56
70,34
71,14
72,77
73,51
74,45
75,42
76,24
77,70
78,36
79,87
80,59
81,64
82,78
83,89
84,57
85,26
86,99
87,79
88,27
89,15
90,95
91,59
92,62
93,26
94,12
95,57
96,88
97,9
98,11
99,39
