,open,,low,close,volume,date,,high
0,85.885,,84.61,84.6783,1000355,12/3/2021 6:30,,86.2
1,84.6301,,84.6301,86.3725,561318,12/3/2021 6:31,,86.94
2,86.3002,,86.3002,87.7929,771312,12/3/2021 6:32,,88.49
3,87.68,,87.3,87.51,410027,12/3/2021 6:33,,88.39
4,87.565,,86.54,87.095,243277,12/3/2021 6:34,,87.61
5,87.095,,86.55,86.93,212780,12/3/2021 6:35,,87.15
6,86.87,,86.57,86.67,387041,12/3/2021 6:36,87.46428571,87.47
7,86.64,,86.11,86.875,368202,12/3/2021 6:37,87.60714286,87.2
8,86.9491,,86.58,87.2552,482410,12/3/2021 6:38,87.67857143,87.44
9,87.25,,85.59,86.34,528938,12/3/2021 6:39,87.51714286,87.36
10,86.34,,86.2801,86.7,284832,12/3/2021 6:40,87.28428571,86.76
11,86.7,,86.34,86.66,390968,12/3/2021 6:41,87.17428571,86.84
12,86.59,,86.54,86.875,317315,12/3/2021 6:42,87.14714286,86.96
13,86.87,,86.34,86.389,334933,12/3/2021 6:43,87.10714286,87.19
14,86.4399,,85.89,85.95,350706,12/3/2021 6:44,87.07857143,87
15,85.95,,85.915,86.43,278670,12/3/2021 6:45,87.01571429,87
16,86.4,,85.8,85.985,198796,12/3/2021 6:46,86.88428571,86.44
17,85.99,,85.33,85.47,296986,12/3/2021 6:47,86.79571429,86.14
18,85.37,,84.21,84.67,358077,12/3/2021 6:48,86.61428571,85.57
19,84.67,,83.95,84.035,511195,12/3/2021 6:49,86.30285714,84.78
20,84.025,,83.8461,84.05,307279,12/3/2021 6:50,85.89428571,84.33
21,84.04,,83.1775,83.32,314481,12/3/2021 6:51,85.52571429,84.42
22,83.32,,82.82,82.99,301362,12/3/2021 6:52,85.02142857,83.47
23,83,,82.94,83.59,240006,12/3/2021 6:53,84.64571429,83.81
24,83.62,,82.812,82.94,168412,12/3/2021 6:54,84.29428571,83.68
25,82.95,,82.68,82.896,218732,12/3/2021 6:55,83.99284286,83.4599
26,82.93,,82.92,83.3,299349,12/3/2021 6:56,83.78284286,83.31
27,83.3,,83.2701,83.545,198659,12/3/2021 6:57,83.70712857,83.8
28,83.57,,83.3,83.33,170588,12/3/2021 6:58,83.61427143,83.77
29,83.3,,83.01,83.7794,170610,12/3/2021 6:59,83.68284286,83.95
30,83.75,,83.5,83.54,184372,12/3/2021 7:00,83.72284286,84.09
31,83.54,,82.3813,82.485,274104,12/3/2021 7:01,83.72855714,83.72
32,82.44,,81.88,82.1601,299847,12/3/2021 7:02,83.64,82.84
33,82.215,,81.03,81.99,317395,12/3/2021 7:03,83.51142857,82.41
34,81.99,,81.73,82.32,180476,12/3/2021 7:04,83.31857143,82.45
35,82.4299,,82.15,82.96,160016,12/3/2021 7:05,83.23142857,83.16
36,82.925,,82.3,82.36,199005,12/3/2021 7:06,83.13,83.24
