,open,high,low,close,volume,date
0,79.71,79.71,79.71,79.71,100.0,2021-03-01 06:29:00
1,80.04,80.55,80.0,80.1151,32500.0,2021-03-01 06:30:00
2,80.14,80.49,80.14,80.27,3010.0,2021-03-01 06:31:00
3,80.35,80.43,80.27,80.43,1497.0,2021-03-01 06:32:00
4,80.46,80.46,80.33,80.375,6266.0,2021-03-01 06:33:00
5,80.37,80.445,80.34,80.37,5937.0,2021-03-01 06:34:00
6,80.38,80.42,80.1,80.175,8570.0,2021-03-01 06:35:00
7,80.23,80.335,80.23,80.335,343.0,2021-03-01 06:36:00
8,80.56,80.73,80.56,80.73,601.0,2021-03-01 06:37:00
9,80.64,80.74,80.49,80.51,1989.0,2021-03-01 06:38:00
10,80.58,80.63,80.49,80.49,4256.0,2021-03-01 06:39:00
11,80.49,80.495,80.49,80.495,400.0,2021-03-01 06:40:00
12,80.4,80.4,80.3108,80.3108,438.0,2021-03-01 06:41:00
13,80.39,80.47,80.3,80.3,1835.0,2021-03-01 06:42:00
14,80.33,80.39,80.33,80.39,2051.0,2021-03-01 06:43:00
15,80.365,80.675,80.365,80.675,1083.0,2021-03-01 06:44:00
16,80.66,80.66,80.62,80.62,601.0,2021-03-01 06:45:00
17,80.63,80.75,80.6019,80.75,1046.0,2021-03-01 06:46:00
18,80.73,80.755,80.63,80.63,1711.0,2021-03-01 06:47:00
19,80.74,80.74,80.59,80.615,900.0,2021-03-01 06:48:00
20,80.65,80.8,80.65,80.74,645.0,2021-03-01 06:49:00
21,80.78,80.88,80.78,80.88,700.0,2021-03-01 06:50:00
22,80.855,80.855,80.69,80.73,1293.0,2021-03-01 06:51:00
23,80.71,80.73,80.67,80.67,616.0,2021-03-01 06:52:00
24,80.61,80.69,80.61,80.69,700.0,2021-03-01 06:53:00
25,80.65,80.73,80.62,80.69,943.0,2021-03-01 06:54:00
26,80.69,80.87,80.69,80.78,759.0,2021-03-01 06:55:00
27,80.77,80.77,80.69,80.69,685.0,2021-03-01 06:56:00
28,80.79,80.79,80.79,80.79,100.0,2021-03-01 06:57:00
29,80.75,80.76,80.75,80.76,259.0,2021-03-01 06:58:00
30,80.675,80.675,80.5707,80.5707,669.0,2021-03-01 06:59:00
31,80.51,80.57,80.48,80.545,1254.0,2021-03-01 07:00:00
32,80.545,80.66,80.545,80.66,1300.0,2021-03-01 07:01:00
33,80.66,80.695,80.6,80.65,1405.0,2021-03-01 07:02:00
34,80.63,80.69,80.6,80.69,999.0,2021-03-01 07:03:00
35,80.68,80.68,80.59,80.59,603.0,2021-03-01 07:04:00
36,80.49,80.49,80.4,80.4,308.0,2021-03-01 07:05:00
37,80.42,80.5,80.41,80.46,1723.0,2021-03-01 07:06:00
38,80.44,80.57,80.44,80.54,1388.0,2021-03-01 07:07:00
39,80.51,80.51,80.48,80.5,1326.0,2021-03-01 07:08:00
40,80.525,80.53,80.48,80.53,1201.0,2021-03-01 07:09:00
41,80.49,80.49,80.445,80.445,495.0,2021-03-01 07:10:00
42,80.47,80.48,80.44,80.47,910.0,2021-03-01 07:11:00
43,80.44,80.47,80.3707,80.3707,416.0,2021-03-01 07:12:00
44,80.41,80.41,80.4,80.4,200.0,2021-03-01 07:13:00
45,80.38,80.45,80.35,80.35,1359.0,2021-03-01 07:14:00
46,80.45,80.515,80.43,80.515,500.0,2021-03-01 07:15:00
47,80.52,80.73,80.51,80.67,2200.0,2021-03-01 07:16:00
48,80.72,80.74,80.72,80.74,661.0,2021-03-01 07:17:00
49,80.65,80.7199,80.63,80.65,1658.0,2021-03-01 07:18:00
50,80.63,80.68,80.63,80.68,482.0,2021-03-01 07:19:00
51,80.67,80.67,80.64,80.64,1107.0,2021-03-01 07:20:00
52,80.69,80.69,80.65,80.68,1678.0,2021-03-01 07:21:00
53,80.715,80.715,80.715,80.715,100.0,2021-03-01 07:22:00
54,80.68,80.72,80.6725,80.6725,600.0,2021-03-01 07:23:00
55,80.68,80.8,80.66,80.765,3728.0,2021-03-01 07:24:00
56,80.79,80.8,80.79,80.79,400.0,2021-03-01 07:25:00
57,80.77,80.77,80.71,80.75,1437.0,2021-03-01 07:26:00
58,80.7,80.72,80.67,80.72,1486.0,2021-03-01 07:27:00
