,open,high,low,close,volume,datetime,,
0,105.952,107.568,103.35706,103.7,86844155,1.57907E+12,,8
1,98.75,102.892,98.434,102.698,108683265,1.57915E+12,-4.773384764,
2,101.522,103.13398,100.632,102.1,68145365,1.57924E+12,-1.145105065,
3,106.05,109.716,105.682,109.44,89017355,1.57959E+12,3.868756121,
4,114.378,118.9,111.82,113.912,156845140,1.57967E+12,4.512061404,
5,112.85,116.4,111.12054,114.44,98255210,1.57976E+12,-0.932298616,
6,114.126,114.772,110.852,112.964,71768000,1.57985E+12,-0.274379588,
7,108.398,112.888,107.856,111.604,68040340,1.5801E+12,-4.04199568,112.90799
8,113.698,115.362,111.616,113.38,58942465,1.58019E+12,1.876276836,
9,115.138,117.95998,113.486,116.198,91083360,1.58028E+12,1.550538014,
10,126.484,130.176,123.6,128.162,145028380,1.58036E+12,8.852131706,
11,128,130.6,126.504,130.114,78596330,1.58045E+12,-0.126402522,
12,134.738,157.228,134.704,156,236167475,1.58071E+12,3.553806662,
13,176.592,193.79798,166.776,177.412,304693790,1.5808E+12,13.2,
14,164.652,169.196,140.82212,146.94,242119185,1.58088E+12,-7.192298153,
15,139.984,159.166,137.4,149.792,199403760,1.58097E+12,-4.733904995,
16,146.11,153.95,146,149.614,85317605,1.58106E+12,-2.458075198,
17,160,163.998,150.48,154.256,123445815,1.58131E+12,6.941863729,
18,153.758,156.70122,151.6,154.876,58487365,1.5814E+12,-0.322839954,
19,155.574,157.95,152.674,153.458,60112350,1.58149E+12,0.450683127,
20,148.368,163.6,147,160.8,131446740,1.58157E+12,-3.316868459,
21,157.444,162.594,157.1,160.006,78468555,1.58166E+12,-2.087064677,
22,168.32,172,166.472,171.68,83491845,1.58201E+12,5.196055148,
23,184.7,188.956,180.204,183.484,127114790,1.58209E+12,7.58387698,
24,182.39,182.4,171.988,179.882,88174465,1.58218E+12,-0.596237274,
25,181.396,182.612,176.09,180.2,71697230,1.58226E+12,0.841662868,
26,167.8,172.7,164.44,166.758,75960815,1.58252E+12,-6.881243063,
27,169.8,171.32,157.4,159.982,86452405,1.58261E+12,1.824200338,
28,156.5,162.662,155.222,155.76,70769215,1.5827E+12,-2.176494856,
29,146,147.954,133.8,135.8,121385800,1.58278E+12,-6.266050334,
30,125.94,138.104,122.304,133.598,122820855,1.58287E+12,-7.260677467,
31,142.252,148.738,137.334,148.724,100974955,1.58313E+12,6.477641881,
32,161,161.396,143.22212,149.102,128920015,1.58322E+12,8.254215863,
33,152.79206,153.304,144.9469,149.9,75244885,1.5833E+12,2.474856139,
34,144.754,149.15,143.614,144.908,54263285,1.58339E+12,-3.432955304,
35,138.0007,141.4,136.854,140.696,63314590,1.58347E+12,-4.766679548,
36,121.078,132.5996,121,121.6,85368700,1.58373E+12,-13.94353784,
37,131.886,133.6,121.6,129.066,77972215,1.58382E+12,8.458881579,
38,128.04,130.716,122.6,126.846,67067935,1.5839E+12,-0.794942123,
39,116.178,118.9,109.25,112.11,94545260,1.58399E+12,-8.410198193,
40,119,121.514,100.4,109.324,113201270,1.58408E+12,6.14574971,
41,93.89994,98.97398,88.434,89.014,102447320,1.58433E+12,-14.10857634,
42,88.002,94.37,79.2,86.04,119972900,1.58442E+12,-1.136899814,
43,77.8,80.972,70.102,72.244,118930810,1.58451E+12,-9.576940958,
44,74.9393,90.4,71.692,85.528,150977300,1.58459E+12,3.730828858,
45,87.64,95.4,85.158,85.506,141427510,1.58468E+12,2.469366757,
46,86.72,88.39998,82.1,86.858,82272745,1.58494E+12,1.419783407,
47,95.46,102.738,94.8,101,114475850,1.58503E+12,9.903520689,
48,109.05,111.4,102.222,107.85,106113725,1.58511E+12,7.97029703,
49,109.478,112,102.45,105.632,87110410,1.5852E+12,1.509503941,
50,101,105.16,98.806,102.872,71887040,1.58529E+12,-4.385034838,
51,102.052,103.32942,98.246,100.426,59990335,1.58554E+12,-0.797107085,
52,100.25,108.592,99.4,104.8,88857425,1.58563E+12,-0.17525342,
53,100.8,102.79096,95.02,96.312,66765900,1.58572E+12,-3.816793893,
54,96.206,98.85198,89.28,90.894,99292135,1.5858E+12,-0.110058975,
55,101.9,103.098,93.67802,96.002,112810380,1.58589E+12,12.10861003,
56,102.24,104.2,99.592,103.248,74509180,1.58615E+12,6.497781296,
57,109,113,106.468,109.09,89598920,1.58624E+12,5.571052224,
58,110.84,111.44162,106.666,109.768,63280120,1.58632E+12,1.604180035,
59,112.418,115.03636,111.422,114.6,68250000,1.58641E+12,2.41418264,
60,118.032,130.4,116.106,130.19,112377105,1.58675E+12,2.994764398,
61,139.794,148.376,138.486,141.978,152882555,1.58684E+12,7.376910669,
62,148.4,150.626,142,145.966,117885005,1.58693E+12,4.523235994,
63,143.388,151.89,141.343,149.042,103289310,1.58701E+12,-1.766164723,
64,154.456,154.99,149.532,150.778,65641185,1.5871E+12,3.632533111,
65,146.54,153.114,142.442,149.272,73732885,1.58736E+12,-2.810754885,
66,146.024,150.666,134.758,137.344,101045465,1.58745E+12,-2.175893671,
67,140.796,146.8,137.742,146.422,71124155,1.58753E+12,2.513397018,
68,145.52,146.8,140.626,141.126,66183485,1.58762E+12,-0.616027646,
69,142.162,146.146,139.636,145.03,66188060,1.5877E+12,0.734095773,
70,147.522,159.898,147,159.75,103407210,1.58796E+12,1.718265187,
71,159.128,161,151.338,153.824,76109820,1.58805E+12,-0.389358372,
72,158.034,160.63998,156.632,160.102,81079910,1.58814E+12,2.736894113,
73,171.038,173.964,152.7,156.376,142359270,1.58822E+12,6.830645464,
74,151,154.554,136.608,140.264,162659035,1.58831E+12,-3.437867703,
75,140.2,152.4,139.6,152.238,96185450,1.58857E+12,-0.045628244,
76,157.958,159.784,152.436,153.642,84958280,1.58865E+12,3.757274793,
77,155.3,157.96,152.222,156.516,55616155,1.58874E+12,1.079132008,
78,155.442,159.28,154.47,156.008,57638430,1.58883E+12,-0.686191827,
79,158.754,164.8,157.402,163.884,80650435,1.58891E+12,1.760166145,
80,158.102,164.8,157,162.258,82598005,1.58917E+12,-3.528105245,
81,165.4,168.658,161.6,161.882,79534525,1.58926E+12,1.936422241,
82,164.166,165.2,152.66,158.192,95327455,1.58935E+12,1.410904239,
83,156,160.672,152.8,160.666,68410940,1.58943E+12,-1.385657935,
84,158.07,161.00972,157.3104,159.834,52592140,1.58952E+12,-1.615774339,
85,165.556,166.94402,160.776,162.726,58490510,1.58978E+12,3.579964213,
86,163.034,164.414,161.216,161.602,48182610,1.58986E+12,0.189275223,
87,164.1,165.2,162.36,163.112,36546355,1.58995E+12,1.545772948,
88,163.2,166.5,159.2,165.52,61272920,1.59004E+12,0.05395066,
89,164.4347,166.356,162.4,163.376,49937375,1.59012E+12,-0.655691155,
90,166.9,166.92,163.141,163.774,40448680,1.59047E+12,2.156987562,
91,164.172,165.542,157,164.046,57747650,1.59056E+12,0.243017817,
92,162.702,164.95,160.338,161.162,36378870,1.59064E+12,-0.819282396,
93,161.75,167,160.842,167,59062445,1.59073E+12,0.364850275,
94,171.6,179.8,170.82,179.62,75426485,1.59099E+12,2.754491018,
95,178.94,181.732,174.2,176.312,67827980,1.59107E+12,-0.378576996,
96,177.624,179.588,176.02,176.592,39747345,1.59116E+12,0.744135396,
97,177.976,179.15,171.688,172.876,44438565,1.59125E+12,0.783727462,
98,175.568,177.304,173.24,177.132,39059585,1.59133E+12,1.557185497,
99,183.8,190,181.832,189.984,70873635,1.59159E+12,3.764424271,
