,open,high,low,close,volume,date
0,136.03,136.25,134.92,135.14,4264487.0,2021-02-08 06:30:00
1,135.1384,135.47,134.97,135.339,1806236.0,2021-02-08 06:35:00
2,135.34,135.79,135.22,135.7362,1729200.0,2021-02-08 06:40:00
3,135.71,135.84,135.48,135.71,1330764.0,2021-02-08 06:45:00
4,135.7085,135.8,135.36,135.515,1381985.0,2021-02-08 06:50:00
5,135.51,135.79,135.47,135.69,988784.0,2021-02-08 06:55:00
6,135.68,136.05,135.6,136.0193,1298108.0,2021-02-08 07:00:00
7,136.02,136.31,135.9022,136.12,1115716.0,2021-02-08 07:05:00
8,136.1108,136.19,135.89,135.9584,939877.0,2021-02-08 07:10:00
9,135.96,136.22,135.85,136.07,788826.0,2021-02-08 07:15:00
10,136.0793,136.1701,135.81,135.815,719068.0,2021-02-08 07:20:00
11,135.815,135.97,135.721,135.91,629065.0,2021-02-08 07:25:00
12,135.9094,136.29,135.88,136.24,798502.0,2021-02-08 07:30:00
13,136.24,136.49,136.2264,136.3601,896823.0,2021-02-08 07:35:00
14,136.36,136.63,136.32,136.5908,936576.0,2021-02-08 07:40:00
15,136.6,136.68,136.47,136.505,670085.0,2021-02-08 07:45:00
16,136.5099,136.6,136.42,136.48,559002.0,2021-02-08 07:50:00
17,136.48,136.63,136.39,136.61,595870.0,2021-02-08 07:55:00
18,136.62,136.78,136.6197,136.69,664870.0,2021-02-08 08:00:00
19,136.69,136.9,136.635,136.8993,665009.0,2021-02-08 08:05:00
20,136.8933,136.9,136.65,136.68,771969.0,2021-02-08 08:10:00
21,136.67,136.7,136.5173,136.53,604227.0,2021-02-08 08:15:00
22,136.53,136.67,136.46,136.53,587391.0,2021-02-08 08:20:00
23,136.525,136.58,136.42,136.445,646844.0,2021-02-08 08:25:00
24,136.445,136.52,136.0,136.0501,914727.0,2021-02-08 08:30:00
25,136.0599,136.1,135.93,135.99,772039.0,2021-02-08 08:35:00
26,135.98,136.17,135.84,136.0413,1021281.0,2021-02-08 08:40:00
27,136.05,136.28,136.0207,136.1291,703115.0,2021-02-08 08:45:00
28,136.125,136.2792,136.12,136.2693,452177.0,2021-02-08 08:50:00
29,136.2693,136.32,136.17,136.2308,533673.0,2021-02-08 08:55:00
30,136.235,136.45,136.235,136.43,431176.0,2021-02-08 09:00:00
31,136.44,136.54,136.27,136.295,600054.0,2021-02-08 09:05:00
32,136.3,136.4,136.18,136.1807,618613.0,2021-02-08 09:10:00
33,136.18,136.24,136.09,136.125,558279.0,2021-02-08 09:15:00
34,136.13,136.16,136.01,136.1093,553683.0,2021-02-08 09:20:00
35,136.1093,136.18,136.05,136.08,364339.0,2021-02-08 09:25:00
36,136.0715,136.19,136.01,136.1803,424637.0,2021-02-08 09:30:00
37,136.18,136.2208,136.1,136.125,348134.0,2021-02-08 09:35:00
38,136.125,136.33,136.07,136.33,385358.0,2021-02-08 09:40:00
