,open,high,low,close,volume,date
0,123.65,123.89,123.55,123.72,61876.0,2021-03-18 04:00:00
1,123.71,123.74,123.46,123.6,49391.0,2021-03-18 04:05:00
2,123.63,123.67,123.46,123.56,20396.0,2021-03-18 04:10:00
3,123.56,123.56,123.31,123.35,37073.0,2021-03-18 04:15:00
4,123.35,123.49,123.25,123.42,17009.0,2021-03-18 04:20:00
5,123.44,123.45,123.25,123.4,19325.0,2021-03-18 04:25:00
6,123.38,123.43,122.97,123.09,58864.0,2021-03-18 04:30:00
7,123.1,123.1,122.69,122.8,61641.0,2021-03-18 04:35:00
8,122.77,122.9,122.75,122.9,36133.0,2021-03-18 04:40:00
9,122.89,123.24,122.85,123.09,24310.0,2021-03-18 04:45:00
10,123.1,123.11,122.85,122.87,33055.0,2021-03-18 04:50:00
11,122.87,123.11,122.85,123.0,33277.0,2021-03-18 04:55:00
12,122.98,125.071,122.95,123.04,42709.0,2021-03-18 05:00:00
13,123.06,123.07,122.95,122.97,29608.0,2021-03-18 05:05:00
14,122.99,123.0,122.8,122.94,58377.0,2021-03-18 05:10:00
15,122.94,123.0,122.8,123.0,42612.0,2021-03-18 05:15:00
16,123.0,123.05,122.83,123.04,41613.0,2021-03-18 05:20:00
17,123.0399,123.09,122.91,123.04,45584.0,2021-03-18 05:25:00
18,123.0,123.04,122.85,122.9101,47517.0,2021-03-18 05:30:00
19,122.95,123.07,122.95,122.99,30737.0,2021-03-18 05:35:00
20,122.97,123.03,122.85,122.9158,49741.0,2021-03-18 05:40:00
21,122.9079,122.92,122.81,122.85,35160.0,2021-03-18 05:45:00
22,122.85,123.0,122.72,122.93,49800.0,2021-03-18 05:50:00
23,122.93,123.0,122.88,122.92,48869.0,2021-03-18 05:55:00
24,122.92,123.0,122.85,122.95,37257.0,2021-03-18 06:00:00
25,122.95,122.95,122.7,122.73,93640.0,2021-03-18 06:05:00
26,122.72,122.93,122.68,122.87,68224.0,2021-03-18 06:10:00
27,122.86,122.88,122.7,122.76,51876.0,2021-03-18 06:15:00
28,122.76,122.93,122.71,122.88,87276.0,2021-03-18 06:20:00
29,122.9,123.1,122.71,122.85,91133.0,2021-03-18 06:25:00
30,122.86,123.18,122.6,122.6653,3279247.0,2021-03-18 06:30:00
31,122.666,122.81,122.37,122.52,2405901.0,2021-03-18 06:35:00
32,122.52,122.72,122.05,122.1399,1931705.0,2021-03-18 06:40:00
33,122.13,122.19,121.78,121.9493,2537820.0,2021-03-18 06:45:00
34,121.95,122.23,121.84,122.05,1789644.0,2021-03-18 06:50:00
35,122.055,122.46,122.01,122.36,1766116.0,2021-03-18 06:55:00
36,122.35,122.4,121.95,121.98,1457861.0,2021-03-18 07:00:00
37,121.99,122.05,121.65,121.84,1783798.0,2021-03-18 07:05:00
38,121.84,121.89,121.59,121.85,1570350.0,2021-03-18 07:10:00
39,121.85,121.865,121.59,121.8,1292838.0,2021-03-18 07:15:00
40,121.8,122.08,121.75,121.87,1318279.0,2021-03-18 07:20:00
41,121.87,122.26,121.83,122.185,1262434.0,2021-03-18 07:25:00
42,122.18,122.28,122.0099,122.19,1170855.0,2021-03-18 07:30:00
43,122.19,122.64,122.05,122.5601,1517450.0,2021-03-18 07:35:00
44,122.5616,122.605,122.3,122.37,1104788.0,2021-03-18 07:40:00
45,122.36,122.39,122.18,122.27,791537.0,2021-03-18 07:45:00
46,122.28,122.475,122.105,122.45,902467.0,2021-03-18 07:50:00
47,122.46,122.61,122.385,122.51,899657.0,2021-03-18 07:55:00
48,122.51,122.73,122.435,122.56,959510.0,2021-03-18 08:00:00
49,122.5512,122.71,122.49,122.63,629630.0,2021-03-18 08:05:00
50,122.6208,122.67,122.17,122.18,965975.0,2021-03-18 08:10:00
51,122.175,122.2699,122.1,122.2,853372.0,2021-03-18 08:15:00
52,122.2,122.3,122.01,122.01,844905.0,2021-03-18 08:20:00
53,122.0196,122.215,121.96,122.21,957968.0,2021-03-18 08:25:00
54,122.21,122.235,121.98,122.005,849800.0,2021-03-18 08:30:00
55,122.0099,122.27,121.95,122.0901,849606.0,2021-03-18 08:35:00
56,122.08,122.12,122.005,122.07,532763.0,2021-03-18 08:40:00
57,122.07,122.13,121.955,122.02,742617.0,2021-03-18 08:45:00
58,122.02,122.1,121.9,121.955,800782.0,2021-03-18 08:50:00
59,121.95,122.025,121.77,121.93,898898.0,2021-03-18 08:55:00
60,121.93,122.28,121.835,122.26,905930.0,2021-03-18 09:00:00
61,122.265,122.49,122.2,122.4502,1026445.0,2021-03-18 09:05:00
62,122.445,122.56,122.337,122.56,773799.0,2021-03-18 09:10:00
63,122.555,122.59,122.32,122.3511,803979.0,2021-03-18 09:15:00
