,open,high,low,close,volume,date
0,82.0,82.12,81.86,81.86,1754.0,2021-03-18 04:00:00
1,81.9,81.9,81.75,81.79,5056.0,2021-03-18 04:05:00
2,81.66,81.78,81.66,81.78,808.0,2021-03-18 04:10:00
3,81.85,81.85,81.71,81.76,1311.0,2021-03-18 04:15:00
4,81.74,81.74,81.71,81.71,614.0,2021-03-18 04:25:00
5,81.7,81.71,81.5,81.5,8295.0,2021-03-18 04:30:00
6,81.5,81.5,81.07,81.12,21223.0,2021-03-18 04:35:00
7,81.07,81.15,81.07,81.15,813.0,2021-03-18 04:40:00
8,81.24,81.58,81.22,81.58,2315.0,2021-03-18 04:45:00
9,81.5,81.55,81.37,81.41,11597.0,2021-03-18 04:50:00
10,81.49,81.55,81.45,81.45,2102.0,2021-03-18 04:55:00
11,81.51,81.51,81.31,81.48,3309.0,2021-03-18 05:00:00
12,81.4,81.41,81.34,81.41,2378.0,2021-03-18 05:05:00
13,81.41,81.41,81.27,81.31,12099.0,2021-03-18 05:10:00
14,81.29,81.34,81.17,81.2301,7839.0,2021-03-18 05:15:00
15,81.3204,81.37,81.25,81.37,998.0,2021-03-18 05:20:00
16,81.39,81.49,81.37,81.4,7393.0,2021-03-18 05:25:00
17,81.42,81.42,81.21,81.3,8977.0,2021-03-18 05:30:00
18,81.29,81.43,81.29,81.4,4525.0,2021-03-18 05:35:00
19,81.4,81.42,81.3,81.3,3491.0,2021-03-18 05:40:00
20,81.34,81.37,81.28,81.28,2308.0,2021-03-18 05:45:00
21,81.3399,81.36,81.32,81.32,6322.0,2021-03-18 05:50:00
22,81.35,81.43,81.32,81.37,18794.0,2021-03-18 05:55:00
23,81.36,81.36,81.24,81.35,16951.0,2021-03-18 06:00:00
24,81.3154,81.35,81.15,81.15,16822.0,2021-03-18 06:05:00
25,81.15,81.24,81.15,81.2,4571.0,2021-03-18 06:10:00
26,81.2,81.22,81.2,81.2,10847.0,2021-03-18 06:15:00
27,81.2,81.21,81.1701,81.21,10886.0,2021-03-18 06:20:00
28,81.21,81.25,81.0,81.07,27788.0,2021-03-18 06:25:00
29,81.14,81.62,80.77,81.08,1288985.0,2021-03-18 06:30:00
30,81.07,81.21,80.74,80.93,833665.0,2021-03-18 06:35:00
31,80.89,80.95,80.11,80.1202,1166714.0,2021-03-18 06:40:00
32,80.13,80.16,79.78,79.86,1407120.0,2021-03-18 06:45:00
33,79.85,80.19,79.57,80.0,1062887.0,2021-03-18 06:50:00
34,80.01,80.4,79.87,80.205,1038035.0,2021-03-18 06:55:00
35,80.19,80.19,79.64,80.03,724804.0,2021-03-18 07:00:00
36,80.03,80.15,79.68,79.8301,584353.0,2021-03-18 07:05:00
37,79.8324,80.0,79.6101,80.0,618490.0,2021-03-18 07:10:00
38,79.96,80.0,79.63,79.915,578188.0,2021-03-18 07:15:00
39,79.91,80.23,79.8633,80.23,540165.0,2021-03-18 07:20:00
40,80.23,80.35,80.19,80.23,528048.0,2021-03-18 07:25:00
41,80.24,80.2701,79.88,79.97,528357.0,2021-03-18 07:30:00
42,79.96,80.49,79.8429,80.46,662696.0,2021-03-18 07:35:00
43,80.45,80.47,80.1,80.23,494959.0,2021-03-18 07:40:00
44,80.21,80.23,80.0201,80.064,355979.0,2021-03-18 07:45:00
45,80.065,80.5,79.91,80.44,529479.0,2021-03-18 07:50:00
46,80.445,80.51,80.33,80.4,368989.0,2021-03-18 07:55:00
47,80.41,80.64,80.41,80.55,381493.0,2021-03-18 08:00:00
48,80.57,80.8,80.475,80.76,440806.0,2021-03-18 08:05:00
49,80.7681,80.7867,80.455,80.48,368520.0,2021-03-18 08:10:00
50,80.47,80.6,80.3697,80.4401,293833.0,2021-03-18 08:15:00
51,80.44,80.565,80.16,80.165,459880.0,2021-03-18 08:20:00
52,80.15,80.4,80.08,80.4,331038.0,2021-03-18 08:25:00
53,80.41,80.44,80.225,80.24,236799.0,2021-03-18 08:30:00
54,80.24,80.38,80.16,80.33,277031.0,2021-03-18 08:35:00
55,80.33,80.39,80.2,80.35,207670.0,2021-03-18 08:40:00
56,80.345,80.37,80.18,80.26,221811.0,2021-03-18 08:45:00
57,80.26,80.35,80.03,80.175,320493.0,2021-03-18 08:50:00
58,80.16,80.2899,80.01,80.25,236808.0,2021-03-18 08:55:00
