,open,high,low,close,volume,date,,
108,201.38,202.73,200.17,201.6001,250328,3/18/2021 13:00,,202.46
109,201.6,202.46,201.1,202.01,2778,3/18/2021 13:05,,202.73
110,202.21,202.73,201.5,201.67,7601,3/18/2021 13:10,,201.74
111,201.1,201.74,201.1,201.27,1400,3/18/2021 13:15,,201.4
112,201.17,201.4,201.0701,201.0701,800,3/18/2021 13:20,,201.07
113,201.07,201.07,200.35,200.35,2281,3/18/2021 13:25,,200.5
114,200.35,200.5,200.2,200.2,2679,3/18/2021 13:30,,201.75
115,200.63,201.75,200.63,201.75,2497,3/18/2021 13:35,,202.38
116,201.65,202.38,201.65,202.19,3189,3/18/2021 13:40,,202.3
117,202.3,202.3,201.7,202.2,594,3/18/2021 13:45,,201.75
118,201.75,201.75,201.75,201.75,200,3/18/2021 13:50,,202.83
119,201.85,202.83,201.75,202.5,4818,3/18/2021 13:55,,202.89
120,202.89,202.89,202.75,202.89,1375,3/18/2021 14:00,,202.99
121,202.85,202.99,202.85,202.85,2470,3/18/2021 14:05,,202.18
122,201.77,202.18,201.77,202.18,1281,3/18/2021 14:10,,202.62
123,202.5,202.62,202.01,202.05,1649,3/18/2021 14:15,,202.21
124,202.06,202.21,202.06,202.21,411,3/18/2021 14:20,,203.3
125,202.36,203.3,202.36,202.9,17414,3/18/2021 14:25,,203.5
126,203.25,203.5,203.25,203.5,2941,3/18/2021 14:30,,203.76
127,203.5,203.76,203.5,203.76,990,3/18/2021 14:35,,203.7
128,203.3,203.7,203.3,203.67,2157,3/18/2021 14:40,,203.49
129,203.49,203.49,203.01,203.39,2153,3/18/2021 14:50,,203.69
130,203.5,203.69,203.5,203.68,1726,3/18/2021 14:55,,204
131,203.8,204,203.5,203.5,3487,3/18/2021 15:00,,203.6
132,203.6,203.6,203.18,203.18,200,3/18/2021 15:05,,203.2
133,203.2,203.2,203.2,203.2,210,3/18/2021 15:10,,203.75
134,203.75,203.75,203.22,203.22,1164,3/18/2021 15:15,,203.5
135,203.5,203.5,203.5,203.5,262,3/18/2021 15:20,,203.7499
136,203.7499,203.7499,203.7499,203.7499,400,3/18/2021 15:25,,203.7
137,203.01,203.7,203.01,203.01,2349,3/18/2021 15:30,,203.01
138,203.01,203.01,203.01,203.01,186,3/18/2021 15:35,,203.7
139,203.03,203.7,203.03,203.7,210,3/18/2021 15:40,,203.5
140,203.5,203.5,203.5,203.5,233,3/18/2021 15:45,,203.5
141,203.5,203.5,203.5,203.5,100,3/18/2021 15:50,,203.11
142,203.11,203.11,202.51,202.51,1216,3/18/2021 15:55,,203.03
143,202.69,203.03,202.55,203.03,895,3/18/2021 16:00,,202.77
144,202.77,202.77,202.55,202.55,1215,3/18/2021 16:05,,202.77
145,202.77,202.77,202.77,202.77,300,3/18/2021 16:10,,203
146,203,203,202.5,202.5,589,3/18/2021 16:15,,202.11
147,202.11,202.11,201.91,201.91,1305,3/18/2021 16:20,,202.59
148,202.59,202.59,202.59,202.59,100,3/18/2021 16:25,,202.53
149,202.53,202.53,202.53,202.53,100,3/18/2021 16:30,,202.49
150,202.27,202.49,202.1,202.49,2362,3/18/2021 16:35,,202.44
151,202.09,202.44,202.02,202.03,1903,3/18/2021 16:40,,202.42
152,202.42,202.42,201.91,201.91,1196,3/18/2021 16:45,,201.9
153,201.9,201.9,201,201,3526,3/18/2021 16:50,,201
154,200.69,201,200.1,201,1833,3/18/2021 16:55,,
155,204.79,206.35,204.79,206,975,3/19/2021 1:00,,
156,204.79,204.79,204.79,204.79,388,3/19/2021 1:05,,
157,202,202.5,201.89,202.5,523,3/19/2021 1:15,,
158,204,204,204,204,138,3/19/2021 1:25,,
159,203.45,203.45,203,203,243,3/19/2021 1:35,,
160,203.2,203.27,203.2,203.27,412,3/19/2021 1:50,,
