,open,high,low,close,volume,date,Close - Open,Gpa Percent,,open,high,low,close,volume,date
0,277.58,281.2,275.47,278.2,190282705,4/8/2020 22:00,0.62,,0,1656,1671,-1164,650,0,4/8/2020 22:00
1,277.14,277.51,271.41,275.66,114839053,4/12/2020 22:00,-1.48,-0.381020848,1,-228,1015,-1148,329,0,4/12/2020 22:00
2,280.98,284.9,275.5106,283.79,134143350,4/13/2020 22:00,2.81,1.929913662,2,1523,1523,-994,727,0,4/13/2020 22:00
3,277.57,283.9407,275.46,277.76,121775006,4/14/2020 22:00,0.19,-2.191761514,3,-1721,1104,-1776,486,0,4/14/2020 22:00
4,279.15,280.03,275.76,279.1,131798325,4/15/2020 22:00,-0.05,0.500432028,4,215,987,-1093,265,0,4/15/2020 22:00
5,285.38,287.3,282.4,286.64,146684784,4/16/2020 22:00,1.26,2.250089574,5,1721,1771,-718,354,0,4/16/2020 22:00
6,282.61,286.7912,281.35,281.59,100109285,4/19/2020 22:00,-1.02,-1.405944739,6,-1505,908,-1505,341,0,4/19/2020 22:00
7,276.73,278.04,272.02,273.04,126385698,4/20/2020 22:00,-3.69,-1.725913562,7,-1563,1084,-1563,264,0,4/20/2020 22:00
8,278.35,281,276.91,279.1,93524584,4/21/2020 22:00,0.75,1.944769997,8,1687,1705,-820,502,0,4/21/2020 22:00
9,280.49,283.94,278.75,279.08,104709693,4/22/2020 22:00,-1.41,0.49802938,9,783,941,-1300,563,0,4/22/2020 22:00
10,280.73,283.7,278.5,282.97,85165953,4/23/2020 22:00,2.24,0.591228322,10,1199,1210,-1037,305,0,4/23/2020 22:00
11,285.12,288.27,284.62,287.05,77896608,4/26/2020 22:00,1.93,0.759797858,11,1001,1019,-660,332,0,4/26/2020 22:00
12,291.02,291.4,285.4,285.73,105269985,4/27/2020 22:00,-5.29,1.383034315,12,1563,1581,-1281,38,0,4/27/2020 22:00
13,291.53,294.88,290.41,293.21,118745579,4/28/2020 22:00,1.68,2.029888356,13,1620,1640,-754,9,0,4/28/2020 22:00
14,291.71,293.3239,288.59,290.48,122901701,4/29/2020 22:00,-1.23,-0.511578732,14,-940,924,-1331,338,0,4/29/2020 22:00
15,285.31,290.6572,281.52,282.79,125180028,4/30/2020 22:00,-2.52,-1.779812724,15,-1588,927,-1588,617,0,4/30/2020 22:00
16,280.74,283.9,279.13,283.57,80873213,5/3/2020 22:00,2.83,-0.724919552,16,-1199,965,-1249,244,0,5/3/2020 22:00
17,286.64,289.25,283.7134,286.19,79569938,5/4/2020 22:00,-0.45,1.082625101,17,1412,1412,-1381,58,0,5/4/2020 22:00
18,288.04,288.46,283.78,284.25,73632628,5/5/2020 22:00,-3.79,0.646423705,18,946,985,-1081,-14,0,5/5/2020 22:00
19,287.75,289.78,287.13,287.68,75250412,5/6/2020 22:00,-0.07,1.231310466,19,1608,1634,-1029,424,0,5/6/2020 22:00
20,291.09,292.95,289.86,292.44,76622128,5/7/2020 22:00,1.35,1.185344828,20,1484,1484,-620,466,0,5/7/2020 22:00
21,290.34,294,289.88,292.5,79514231,5/10/2020 22:00,2.16,-0.71809602,21,-1149,941,-1149,-528,0,5/10/2020 22:00
22,293.79,294.24,286.52,286.67,95870786,5/11/2020 22:00,-7.12,0.441025641,22,842,889,-1158,-296,0,5/11/2020 22:00
23,286.06,287.19,278.965,281.6,144721099,5/12/2020 22:00,-4.46,-0.212788223,23,-773,902,-1361,-35,0,5/12/2020 22:00
24,278.95,285.11,272.99,284.97,121977890,5/13/2020 22:00,6.02,-0.941051136,24,-1637,1288,-1656,462,0,5/13/2020 22:00
25,282.37,286.33,281.34,286.28,111146276,5/14/2020 22:00,3.91,-0.912376741,25,-953,1014,-1035,-227,0,5/14/2020 22:00
26,293.05,296.75,292.7,295,120320229,5/17/2020 22:00,1.95,2.364817661,26,1885,1885,-724,522,0,5/17/2020 22:00
27,294.35,296.205,291.95,291.97,95189316,5/18/2020 22:00,-2.38,-0.220338983,27,-540,1251,-1141,116,0,5/18/2020 22:00
28,295.82,297.87,295.57,296.93,85861691,5/19/2020 22:00,1.11,1.318628626,28,1598,1598,-868,610,0,5/19/2020 22:00
29,296.79,297.67,293.6886,294.88,78293925,5/20/2020 22:00,-1.91,-0.04714916,29,-356,981,-896,-326,0,5/20/2020 22:00
30,294.57,295.63,293.22,295.44,63958200,5/21/2020 22:00,0.87,-0.105127509,30,434,1017,-940,457,0,5/21/2020 22:00
31,301.93,302.19,295.4646,299.08,88951442,5/25/2020 22:00,-2.85,2.196723531,31,1667,1667,-1118,271,0,5/25/2020 22:00
