,open,high,low,close,volume,date
0,627.0,627.3,627.0,627.3,831.0,2021-06-23 04:00:00
1,626.6,626.6,626.6,626.6,100.0,2021-06-23 04:03:00
2,626.4,626.8,626.4,626.8,513.0,2021-06-23 04:07:00
3,626.5,626.5,626.5,626.5,149.0,2021-06-23 04:08:00
4,626.56,626.56,626.56,626.56,100.0,2021-06-23 04:09:00
5,626.5,626.5,626.5,626.5,100.0,2021-06-23 04:10:00
6,626.5,626.78,626.4,626.5,865.0,2021-06-23 04:11:00
7,626.7,626.7,626.69,626.69,235.0,2021-06-23 04:13:00
8,626.79,626.79,626.6,626.6,551.0,2021-06-23 04:14:00
9,626.3,626.3,626.3,626.3,200.0,2021-06-23 04:15:00
10,626.35,626.35,626.35,626.35,103.0,2021-06-23 04:16:00
11,626.26,626.26,626.26,626.26,200.0,2021-06-23 04:18:00
12,626.25,626.25,626.0,626.0,440.0,2021-06-23 04:20:00
13,626.25,626.25,625.0,625.0,990.0,2021-06-23 04:21:00
14,625.88,625.88,625.21,625.21,400.0,2021-06-23 04:22:00
15,625.22,625.22,625.22,625.22,100.0,2021-06-23 04:24:00
16,625.16,625.16,625.05,625.12,751.0,2021-06-23 04:26:00
17,625.7,626.05,625.7,626.05,9970.0,2021-06-23 04:27:00
18,625.6,626.5,625.53,626.5,2028.0,2021-06-23 04:28:00
19,626.21,626.21,626.06,626.07,876.0,2021-06-23 04:30:00
20,626.4,626.7,626.4,626.7,558.0,2021-06-23 04:33:00
21,626.7,626.7,626.7,626.7,100.0,2021-06-23 04:34:00
22,626.12,626.12,626.06,626.06,400.0,2021-06-23 04:35:00
23,626.78,626.95,626.78,626.95,915.0,2021-06-23 04:36:00
24,627.0,627.0,627.0,627.0,354.0,2021-06-23 04:37:00
25,627.4,627.5,627.0,627.3,1267.0,2021-06-23 04:38:00
26,627.5,628.03,627.4,627.76,5998.0,2021-06-23 04:39:00
27,627.95,627.97,627.91,627.97,866.0,2021-06-23 04:40:00
28,627.4,627.4,627.4,627.4,928.0,2021-06-23 04:41:00
29,627.5,627.6,627.3,627.3,613.0,2021-06-23 04:43:00
30,627.31,627.31,627.31,627.31,100.0,2021-06-23 04:45:00
31,627.26,627.26,627.12,627.12,644.0,2021-06-23 04:48:00
32,627.19,627.19,627.19,627.19,158.0,2021-06-23 04:49:00
33,627.19,627.2,627.19,627.2,947.0,2021-06-23 04:50:00
34,627.38,627.38,627.38,627.38,393.0,2021-06-23 04:51:00
35,627.2,627.2,627.2,627.2,100.0,2021-06-23 04:52:00
36,627.47,627.82,627.47,627.82,520.0,2021-06-23 04:54:00
37,627.77,627.84,627.77,627.84,225.0,2021-06-23 04:55:00
38,627.88,627.92,627.88,627.92,300.0,2021-06-23 04:56:00
39,627.92,627.92,627.88,627.88,276.0,2021-06-23 04:57:00
40,627.88,629.0,627.88,628.99,3292.0,2021-06-23 04:58:00
41,628.95,628.95,628.95,628.95,257.0,2021-06-23 04:59:00
42,628.85,629.0,628.85,628.85,1265.0,2021-06-23 05:00:00
43,628.53,628.9999,628.53,628.9999,200.0,2021-06-23 05:01:00
44,629.0,629.58,629.0,629.5,1279.0,2021-06-23 05:02:00
45,629.5,630.0,629.26,629.97,4135.0,2021-06-23 05:03:00
46,629.61,629.88,629.5,629.5,325.0,2021-06-23 05:04:00
