,open,high,low,close,volume,date
0,270.11,272.03,269.36,271.96,60744844,2/3/2019 22:00
1,272.44,273.44,271.88,273.1,79552774,2/4/2019 22:00
2,272.79,273.34,271.92,272.74,58347791,2/5/2019 22:00
3,270.94,271.55,268.29,270.14,95481961,2/6/2019 22:00
4,268.75,270.58,267.83,270.47,75788861,2/7/2019 22:00
5,271.2,271.49,270.03,270.62,68021423,2/10/2019 22:00
6,272.42,274.52,272.34,274.1,72270221,2/11/2019 22:00
7,275.03,275.93,274.56,274.99,65277204,2/12/2019 22:00
8,273.78,275.64,272.87,274.38,83234396,2/13/2019 22:00
9,276.36,277.41,276.13,277.37,97088659,2/14/2019 22:00
10,276.4813,278.58,276.47,277.85,59120804,2/18/2019 22:00
11,277.81,278.92,277.25,278.41,76610767,2/19/2019 22:00
12,277.7,278.1,276.345,277.42,64214727,2/20/2019 22:00
13,278.11,279.36,277.4029,279.14,78114616,2/21/2019 22:00
14,280.73,281.31,279.43,279.52,69030699,2/24/2019 22:00
15,279.13,280.3,278.9,279.32,56844101,2/25/2019 22:00
16,278.52,279.59,277.48,279.2,56921570,2/26/2019 22:00
17,278.96,279.45,278.32,278.68,69268293,2/27/2019 22:00
18,280.44,280.88,278.82,280.42,78880548,2/28/2019 22:00
19,281.6,281.87,276.84,279.4,106494637,3/3/2019 22:00
20,279.54,279.76,278.41,279.02,59114559,3/4/2019 22:00
21,279.15,279.16,276.97,277.33,75039771,3/5/2019 22:00
22,276.83,276.99,274.07,275.01,94885089,3/6/2019 22:00
23,272.94,274.65,272.42,274.46,85795799,3/7/2019 22:00
24,275.26,278.62,275.23,278.44,65098897,3/10/2019 22:00
25,279.06,280.07,278.85,279.49,79667530,3/11/2019 22:00
26,280.48,282.38,280.3,281.34,80639153,3/12/2019 22:00
27,281.37,281.84,280.6662,281.16,67518366,3/13/2019 22:00
28,280.54,282.21,280.33,281.31,81308979,3/14/2019 22:00
29,281.55,282.66,281.3,282.33,62199806,3/17/2019 22:00
30,283.51,284.36,281.41,282.4,90268121,3/18/2019 22:00
31,282.16,283.5,280.32,281.55,84609210,3/19/2019 22:00
32,280.64,285.18,280.59,284.73,79550375,3/20/2019 22:00
33,283.22,283.8034,279.18,279.25,122589646,3/21/2019 22:00
34,278.87,280.1853,277.64,279.04,85575197,3/24/2019 22:00
35,280.99,282.18,279.56,281.12,68125920,3/25/2019 22:00
36,281.11,281.76,277.93,279.65,72224722,3/26/2019 22:00
37,280.35,281.21,279.07,280.71,56238545,3/27/2019 22:00
38,282.39,282.84,281.14,282.48,82186806,3/28/2019 22:00
39,284.7,286.16,284.4,285.83,77617945,3/31/2019 22:00
40,286.04,286.23,285.09,285.97,40070351,4/1/2019 22:00
41,287.32,287.76,285.75,286.42,68243202,4/2/2019 22:00
42,286.78,287.459,286.01,287.18,48997505,4/3/2019 22:00
43,287.92,288.63,287.6,288.57,58621729,4/4/2019 22:00
44,288.1,288.91,287.37,288.79,53566335,4/7/2019 22:00
45,287.72,288.08,286.7,287.31,66142316,4/8/2019 22:00
46,287.77,288.3899,287.31,288.29,52601499,4/9/2019 22:00
47,288.83,288.84,287.578,288.21,55093100,4/10/2019 22:00
48,290,290.47,288.261,290.16,69727782,4/11/2019 22:00
49,290.24,290.35,289.075,289.97,49596685,4/14/2019 22:00
50,290.95,291.01,289.5,290.16,52153197,4/15/2019 22:00
51,291.4,291.425,288.99,289.45,58268295,4/16/2019 22:00
52,290.1,290.32,288.66,290.02,68708513,4/17/2019 22:00
53,289.17,290.435,289.07,290.27,40160140,4/21/2019 22:00
54,290.68,293.14,290.42,292.88,52246633,4/22/2019 22:00
55,292.79,293.16,292.07,292.23,50392914,4/23/2019 22:00
56,292.12,292.78,290.73,292.05,57770862,4/24/2019 22:00
57,292.1,293.49,291.2401,293.41,50916423,4/25/2019 22:00
58,293.51,294.45,293.41,293.87,57197747,4/28/2019 22:00
59,293.49,294.34,291.92,294.02,81111733,4/29/2019 22:00
60,294.72,294.95,291.8,291.81,71671870,4/30/2019 22:00
61,291.68,292.7,289.52,291.18,65030170,5/1/2019 22:00
62,292.82,294.34,291.2998,294.03,56543653,5/2/2019 22:00
63,289.25,293.31,288.9,292.82,107198069,5/5/2019 22:00
64,290.15,290.81,285.81,287.93,144729910,5/6/2019 22:00
65,287.53,289.43,286.87,287.53,91568287,5/7/2019 22:00
66,285.23,287.33,283.3,286.66,103471104,5/8/2019 22:00
67,285.62,288.94,282.3,288.1,112429293,5/9/2019 22:00
68,282.42,283.49,279.93,280.86,127290527,5/12/2019 22:00
69,281.99,285.1,281.85,283.4,77003230,5/13/2019 22:00
70,281.59,285.77,281.36,285.06,73956407,5/14/2019 22:00
71,285.84,289.21,285.76,287.7,76749643,5/15/2019 22:00
72,285.14,288.6,285.1207,285.84,100353024,5/16/2019 22:00
73,284.06,285.43,283.12,283.95,62877610,5/19/2019 22:00
74,285.83,286.93,285.55,286.51,46847085,5/20/2019 22:00
75,285.45,286.69,285.1,285.63,49482472,5/21/2019 22:00
76,283.16,283.21,280.57,282.14,98733847,5/22/2019 22:00
77,283.74,284.2,282.09,282.78,55268095,5/23/2019 22:00
78,283.09,284.15,280.13,280.15,70029356,5/27/2019 22:00
79,278.91,279.36,276.71,278.27,104972927,5/28/2019 22:00
80,279.11,280.04,277.805,279.03,62523780,5/29/2019 22:00
81,276.2,277.12,275.24,275.27,86862782,5/30/2019 22:00
82,275.31,276.5521,273.09,274.57,96427952,6/2/2019 22:00
83,277.12,280.68,276.62,280.53,77231889,6/3/2019 22:00
84,282.33,282.99,280.32,282.96,71169717,6/4/2019 22:00
85,283.29,285.55,282.57,284.8,69430381,6/5/2019 22:00
86,285.93,288.85,285.74,287.65,74272199,6/6/2019 22:00
87,289.37,290.82,288.8734,288.97,60799053,6/9/2019 22:00
88,290.99,291.4,288.1805,288.9,58641325,6/10/2019 22:00
89,288.64,289.26,287.815,288.39,47096312,6/11/2019 22:00
90,289.4,289.98,288.62,289.58,48945156,6/12/2019 22:00
91,289.26,289.93,288.41,289.26,52324716,6/13/2019 22:00
92,289.52,290.22,289.18,289.37,39205709,6/16/2019 22:00
93,291.39,293.57,290.99,292.4,85434823,6/17/2019 22:00
94,292.55,293.65,291.47,293.06,78674377,6/18/2019 22:00
95,296.04,296.3093,293.1255,295.86,116570017,6/19/2019 22:00
96,294.13,295.52,293.76,294,83309466,6/20/2019 22:00
97,294.23,294.58,293.47,293.64,47582730,6/23/2019 22:00
98,293.7,293.73,290.64,290.76,82028656,6/24/2019 22:00
99,291.75,292.31,290.345,290.47,51584902,6/25/2019 22:00
100,291.31,292.06,290.89,291.5,40355239,6/26/2019 22:00
101,292.58,293.55,292.01,293,59350929,6/27/2019 22:00
102,296.68,296.92,294.33,295.66,79107474,6/30/2019 22:00
103,295.61,296.49,294.68,296.43,61504544,7/1/2019 22:00
104,297.18,298.82,297.02,298.8,40898896,7/2/2019 22:00
105,297.44,298.64,296.01,298.46,51677326,7/4/2019 22:00
106,297.01,298.2579,296.22,296.82,45841772,7/7/2019 22:00
107,295.54,297.52,295.48,297.19,41101279,7/8/2019 22:00
108,298.37,299.66,297.78,298.61,58595558,7/9/2019 22:00
109,299.32,299.58,298.2,299.31,50889481,7/10/2019 22:00
110,299.85,300.73,299.51,300.65,40354410,7/11/2019 22:00
111,301.13,301.13,300.19,300.75,33910261,7/14/2019 22:00
112,300.65,300.88,299.44,299.71,40567964,7/15/2019 22:00
113,299.75,299.93,297.74,297.74,44102443,7/16/2019 22:00
114,297.19,299.25,296.7,298.83,51701687,7/17/2019 22:00
115,300.04,300.07,296.96,297.17,71081238,7/18/2019 22:00
116,297.61,298.5,297.04,297.9,43687404,7/21/2019 22:00
117,299.14,300.03,298.22,300.03,44657973,7/22/2019 22:00
118,299.19,301.44,299.09,301.44,47213232,7/23/2019 22:00
119,300.94,301,299.11,300,55394092,7/24/2019 22:00
120,300.76,302.23,300.62,302.01,45084077,7/25/2019 22:00
121,301.88,301.93,300.85,301.46,38126462,7/28/2019 22:00
122,299.91,301.17,299.49,300.72,45849045,7/29/2019 22:00
123,300.99,301.2,295.2,297.43,104245162,7/30/2019 22:00
124,297.6,300.87,293.96,294.84,142646580,7/31/2019 22:00
125,293.85,294.12,290.9,292.62,116749695,8/1/2019 22:00
126,288.09,288.21,281.72,283.82,178745450,8/4/2019 22:00
127,285.91,288.04,284.28,287.8,120711682,8/5/2019 22:00
128,284.4,288.82,282.04,287.97,140572270,8/6/2019 22:00
129,289.62,293.62,289.01,293.62,87713904,8/7/2019 22:00
130,292.58,293.24,289.65,291.62,93729958,8/8/2019 22:00
131,289.96,291.6052,287.02,288.07,65527632,8/11/2019 22:00
132,287.74,294.15,287.36,292.55,94792972,8/12/2019 22:00
133,288.07,288.74,283.76,283.9,135622053,8/13/2019 22:00
134,284.88,285.64,282.39,284.65,101929845,8/14/2019 22:00
135,286.48,289.33,284.7138,288.85,85825286,8/15/2019 22:00
136,292.19,293.08,291.44,292.33,53640153,8/18/2019 22:00
137,291.77,292.36,289.95,290.09,51652752,8/19/2019 22:00
138,292.48,292.86,291.72,292.45,49723430,8/20/2019 22:00
139,293.23,293.93,290.4,292.36,51739292,8/21/2019 22:00
140,290.92,292.76,283.47,284.85,149318150,8/22/2019 22:00
141,287.27,288,285.58,288,72620598,8/25/2019 22:00
142,289.54,289.95,286.03,286.87,68262998,8/26/2019 22:00
143,286.14,289.07,285.25,288.89,59852324,8/27/2019 22:00
144,291.72,293.16,290.61,292.58,57998913,8/28/2019 22:00
145,294.22,294.2399,291.42,292.45,62961780,8/29/2019 22:00
146,290.57,291.58,289.27,290.74,69231875,9/2/2019 22:00
147,293.14,294.055,292.31,294.04,47003957,9/3/2019 22:00
148,296.79,298.83,294.001,297.82,83356779,9/4/2019 22:00
149,298.17,298.76,297.42,298.05,49584290,9/5/2019 22:00
150,299.14,299.24,297.16,298.2,51260290,9/8/2019 22:00
151,297.36,298.2,295.97,298.13,57947101,9/9/2019 22:00
152,298.47,300.34,297.75,300.25,68821066,9/10/2019 22:00
153,301.25,302.46,300.41,301.29,72908745,9/11/2019 22:00
154,301.78,302.17,300.68,301.09,62104838,9/12/2019 22:00
155,299.84,301.1378,299.45,300.16,58191175,9/15/2019 22:00
156,299.94,301.02,299.75,300.92,42904427,9/16/2019 22:00
157,300.49,301.22,298.24,301.1,74192091,9/17/2019 22:00
158,301.53,302.63,300.7103,301.08,78099215,9/18/2019 22:00
159,300.36,300.67,297.41,298.28,97455979,9/19/2019 22:00
160,297.55,299,297.27,298.21,47541321,9/22/2019 22:00
161,299.41,299.84,294.81,295.87,97367568,9/23/2019 22:00
162,295.96,298.11,294.33,297.62,73434081,9/24/2019 22:00
163,297.63,297.86,295.45,297,58722357,9/25/2019 22:00
164,297.83,297.9465,293.69,295.4,84781110,9/26/2019 22:00
165,295.97,297.55,295.92,296.77,52562761,9/29/2019 22:00
166,297.74,298.455,293,293.24,89900420,9/30/2019 22:00
167,291.5,291.51,286.64,288.06,124523974,10/1/2019 22:00
168,287.81,290.45,284.82,290.42,85906799,10/2/2019 22:00
169,291.14,294.63,290.82,294.35,66700681,10/3/2019 22:00
170,293.47,295.26,292.77,293.08,60656561,10/6/2019 22:00
171,291.04,291.85,288.49,288.53,101575470,10/7/2019 22:00
172,290.75,292.3,288.6559,291.27,65707329,10/8/2019 22:00
173,291.18,294.21,291,293.24,57255974,10/9/2019 22:00
174,296.27,298.74,296.1448,296.28,101228577,10/10/2019 22:00
175,295.93,296.67,295.57,295.95,40546668,10/13/2019 22:00
176,297.1,299.7,296.97,298.88,47832356,10/14/2019 22:00
177,298.37,299.16,297.92,298.4,50563596,10/15/2019 22:00
178,299.68,300.24,298.515,299.28,46784885,10/16/2019 22:00
179,298.69,299.395,296.99,297.97,64338028,10/17/2019 22:00
180,299.42,300.21,298.935,299.99,39460901,10/20/2019 22:00
181,300.58,300.9,298.91,299.01,49126038,10/21/2019 22:00
182,298.73,299.94,298.495,299.88,34991829,10/22/2019 22:00
183,300.91,301.07,299.4601,300.37,35857459,10/23/2019 22:00
184,299.74,302.2,299.6806,301.6,45205412,10/24/2019 22:00
185,302.94,303.85,302.91,303.3,42146965,10/27/2019 22:00
186,303,304.23,302.86,303.21,44284921,10/28/2019 22:00
187,303.43,304.55,301.99,304.14,49643928,10/29/2019 22:00
188,304.13,304.13,301.73,303.33,69053791,10/30/2019 22:00
189,304.92,306.19,304.74,306.14,71141515,10/31/2019 22:00
190,307.85,308,306.96,307.37,60606916,11/3/2019 22:00
191,307.59,307.9195,306.71,307.03,42933219,11/4/2019 22:00
192,307.03,307.4,306.06,307.1,46487108,11/5/2019 22:00
193,308.57,309.65,307.66,308.18,54272274,11/6/2019 22:00
194,307.8,309.0036,307.03,308.94,49068797,11/7/2019 22:00
195,307.42,308.54,307.27,308.35,35934909,11/10/2019 22:00
196,308.75,309.99,308.15,309,46484624,11/11/2019 22:00
197,307.91,309.54,307.66,309.1,54459018,11/12/2019 22:00
198,308.79,309.64,308.09,309.55,52001874,11/13/2019 22:00
199,311.02,311.84,310.26,311.79,62706192,11/14/2019 22:00
200,311.53,312.28,311.03,312.02,49327980,11/17/2019 22:00
201,312.68,312.69,311.22,311.93,67927818,11/18/2019 22:00
202,311.28,311.85,309.06,310.77,79696276,11/19/2019 22:00
203,310.89,311.01,309.39,310.27,54664690,11/20/2019 22:00
204,311.09,311.24,309.85,310.96,44850228,11/21/2019 22:00
205,311.98,313.37,311.98,313.37,48762676,11/24/2019 22:00
