,open,high,low,close,volume,date
0,76.075,78.3725,75.555,77.165,173985604.0,2020-02-02 22:00:00
1,78.8275,79.91,78.408625,79.7125,136616536.0,2020-02-03 22:00:00
2,80.88,81.19,79.7375,80.3625,118826872.0,2020-02-04 22:00:00
3,80.6425,81.305,80.0662,81.3025,105425540.0,2020-02-05 22:00:00
4,80.5925,80.85,79.5,80.0075,117684048.0,2020-02-06 22:00:00
5,78.545,80.3875,78.4625,80.3875,109348860.0,2020-02-09 22:00:00
6,80.9,80.975,79.6775,79.9025,94323120.0,2020-02-10 22:00:00
7,80.3675,81.805,80.3675,81.8,113730292.0,2020-02-11 22:00:00
8,81.0475,81.555,80.8375,81.2175,94747568.0,2020-02-12 22:00:00
9,81.185,81.495,80.7125,81.2375,80113788.0,2020-02-13 22:00:00
10,78.84,79.9375,78.6525,79.75,152762180.0,2020-02-17 22:00:00
11,80.0,81.1425,80.0,80.905,93983964.0,2020-02-18 22:00:00
12,80.6575,81.1625,79.5525,80.075,100565956.0,2020-02-19 22:00:00
13,79.655,80.1125,77.625,78.2625,129705660.0,2020-02-20 22:00:00
14,74.315,76.045,72.3075,74.545,222195312.0,2020-02-23 22:00:00
15,75.2375,75.6325,71.5325,72.02,230673456.0,2020-02-24 22:00:00
16,71.6325,74.47,71.625,73.1625,198713724.0,2020-02-25 22:00:00
17,70.275,71.5,68.24,68.38,320605524.0,2020-02-26 22:00:00
18,64.315,69.6025,64.0925,68.34,426884920.0,2020-02-27 22:00:00
19,70.57,75.36,69.43,74.7025,341397356.0,2020-03-01 22:00:00
20,75.9175,76.0,71.45,72.33,319475408.0,2020-03-02 22:00:00
21,74.11,75.85,73.2825,75.685,219178272.0,2020-03-03 22:00:00
22,73.88,74.8875,72.8525,73.23,187572876.0,2020-03-04 22:00:00
23,70.5,72.705,70.3075,72.2575,226176984.0,2020-03-05 22:00:00
24,65.9375,69.5225,65.75,66.5425,286744832.0,2020-03-08 22:00:00
25,69.285,71.61,67.3425,71.335,285290080.0,2020-03-09 22:00:00
26,69.3475,70.305,67.965,68.8575,256379880.0,2020-03-10 22:00:00
27,63.985,67.5,62.0,62.0575,418474068.0,2020-03-11 22:00:00
28,66.2225,69.98,63.2375,69.4925,370732128.0,2020-03-12 22:00:00
29,60.4875,64.77,60.0,60.5525,322423460.0,2020-03-15 22:00:00
30,61.8775,64.4025,59.6,63.215,324055860.0,2020-03-16 22:00:00
31,59.9425,62.5,59.28,61.6675,300233624.0,2020-03-17 22:00:00
32,61.84625,63.21,60.6525,61.195,271857020.0,2020-03-18 22:00:00
33,61.795,62.9575,57.0,57.31,401693384.0,2020-03-19 22:00:00
34,57.02,57.124925,53.1525,56.0925,336752832.0,2020-03-22 22:00:00
35,59.09,61.9225,58.575,61.72,287531092.0,2020-03-23 22:00:00
36,62.6875,64.5625,61.075,61.38,303602040.0,2020-03-24 22:00:00
37,61.63,64.67,61.59,64.61,252560676.0,2020-03-25 22:00:00
38,63.1875,63.9675,61.7625,61.935,204216612.0,2020-03-26 22:00:00
39,62.685,63.88,62.35,63.7025,167976440.0,2020-03-29 22:00:00
40,63.9,65.6225,63.0,63.5725,197002004.0,2020-03-30 22:00:00
41,61.625,62.18,59.7825,60.2275,176218552.0,2020-03-31 22:00:00
42,60.085,61.2875,59.225,61.2325,165933972.0,2020-04-01 22:00:00
43,60.7,61.425,59.743525,60.3525,129880068.0,2020-04-02 22:00:00
44,62.725,65.7775,62.345,65.6175,201820284.0,2020-04-05 22:00:00
45,67.7,67.925,64.75,64.8575,202887324.0,2020-04-06 22:00:00
46,65.685,66.8425,65.3075,66.5175,168895284.0,2020-04-07 22:00:00
47,67.175,67.5175,66.175,66.9975,162116492.0,2020-04-08 22:00:00
48,67.0775,68.425,66.4575,68.3125,131022924.0,2020-04-12 22:00:00
49,70.0,72.0625,69.5125,71.7625,194994688.0,2020-04-13 22:00:00
