,difference,,,,,,,,
0,0.157802493,,,,,,,,
1,0.004643514,,,Mean,0.00871032,0.87%,,,
2,-0.107572281,,,Standard Dev,0.063252435,6.33%,,,
3,0.070065253,,,,,,,,
4,0.083791701,,,,,,,,
5,0.06080677,,,,,,,,
6,-0.07390059,,,,,z score,0.65,,
7,-0.081310945,,,,,,,,
8,0.141286324,,,,,,,,
9,-0.059442337,,,,,,0.743049693,,0.256950307201359
10,-0.085723569,,,,,Prob Closes Over =,0.05,,
11,-0.071099288,,,,,,0.256950307,,
12,0.079658713,,,,,,25.70%,,
13,0.072836574,,,,,,,,
14,0.07432506,,,,,,,,
15,-0.010782945,,,,,,,,
16,-0.027843435,,,,,,,,
17,0.106482733,,,,,,,,
18,-0.097613025,,,,,,,,
19,-0.025192887,,,,,,,,
20,0.001950712,,,,,,,,
21,0.081625546,,,,,,,,
22,-0.043642094,,,,,,,,
23,-0.098799827,,,,,,,,
24,0.000699141,,,,,,,,
25,0.072892033,,,,,,,,
26,-0.01829117,,,,,,,,
27,-0.055603934,,,,,,,,
28,0.05765985,,,,,,,,
29,0.006207324,,,,,,,,
30,0.094597488,,,,,,,,
31,-0.006266502,,,,,,,,
32,0.075859396,,,,,,,,
33,-0.052711814,,,,,,,,
34,0.045228162,,,,,,,,
35,0.026732867,,,,,,,,
36,-0.03560597,,,,,,,,
37,0.120802554,,,,,,,,
38,-0.05394915,,,,,,,,
39,-0.000564818,,,,,,,,
40,0.03850453,,,,,,,,
41,-0.072443844,,,,,,,,
42,0.02714524,,,,,,,,
43,-0.038502357,,,,,,,,
44,-0.02413992,,,,,,,,
45,0.101509336,,,,,,,,
46,0.030236422,,,,,,,,
47,0.004296757,,,,,,,,
48,0.018840198,,,,,,,,
49,-0.012925857,,,,,,,,
50,-0.00825368,,,,,,,,
51,-0.012499988,,,,,,,,
52,-0.061210431,,,,,,,,
53,0.065942885,,,,,,,,
54,0.035250451,,,,,,,,
55,-0.014950564,,,,,,,,
56,-0.04033298,,,,,,,,
57,0.085402048,,,,,,,,
58,0.0147764,,,,,,,,
59,0.02772017,,,,,,,,
60,-0.057471721,,,,,,,,
61,0.060900661,,,,,,,,
62,0.0389602,,,,,,,,
63,-0.075280365,,,,,,,,
64,0.091752725,,,,,,,,
65,0.033651078,,,,,,,,
66,0.044110893,,,,,,,,
67,0.039019247,,,,,,,,
68,-0.024585743,,,,,,,,
69,-0.011820946,,,,,,,,
70,0.049393636,,,,,,,,
71,0.02806077,,,,,,,,
72,-0.04498472,,,,,,,,
73,0.055442318,,,,,,,,
74,-0.052394001,,,,,,,,
75,-0.044899827,,,,,,,,
76,-0.062525999,,,,,,,,
77,0.107533995,,,,,,,,
78,-0.046037399,,,,,,,,
79,0.07819843,,,,,,,,
80,-0.006109115,,,,,,,,
81,0.055537088,,,,,,,,
82,-0.127897051,,,,,,,,
