,postmarket high,postmarket low,hour,date
0,82.75,82.63,13:05:00,2021-03-17
1,82.74,82.7,13:10:00,2021-03-17
2,82.9,82.72,13:15:00,2021-03-17
3,82.8,82.72,13:20:00,2021-03-17
4,82.86,82.79,13:25:00,2021-03-17
5,82.86,82.74,13:30:00,2021-03-17
6,82.78,82.74,13:35:00,2021-03-17
7,82.74,82.7,13:40:00,2021-03-17
8,82.78,82.74,13:45:00,2021-03-17
9,82.76,82.7,13:50:00,2021-03-17
10,82.65,82.63,13:55:00,2021-03-17
11,82.64,82.63,14:00:00,2021-03-17
12,82.77,82.67,14:05:00,2021-03-17
13,82.69,82.69,14:10:00,2021-03-17
14,82.69,82.67,14:15:00,2021-03-17
15,82.77,82.65,14:20:00,2021-03-17
16,82.77,82.72,14:25:00,2021-03-17
17,82.85,82.74,14:30:00,2021-03-17
18,82.84,82.76,14:35:00,2021-03-17
19,82.82,82.71,14:40:00,2021-03-17
20,82.82,82.72,14:45:00,2021-03-17
21,82.63,82.63,14:50:00,2021-03-17
22,82.81,82.79,14:55:00,2021-03-17
23,82.82,82.81,15:00:00,2021-03-17
24,82.82,82.8,15:05:00,2021-03-17
25,82.82,82.8,15:10:00,2021-03-17
26,82.81,82.8,15:15:00,2021-03-17
27,82.81,82.8,15:20:00,2021-03-17
28,82.83,82.81,15:25:00,2021-03-17
29,82.83,82.82,15:30:00,2021-03-17
30,82.82,82.8,15:35:00,2021-03-17
31,82.81,82.8,15:40:00,2021-03-17
32,82.83,82.79,15:45:00,2021-03-17
33,82.8,82.77,15:50:00,2021-03-17
34,82.83,82.8,16:00:00,2021-03-17
35,82.8,82.76,16:05:00,2021-03-17
36,82.79,82.79,16:15:00,2021-03-17
37,82.9,82.82,16:20:00,2021-03-17
38,82.9,82.89,16:25:00,2021-03-17
39,82.85,82.8,16:30:00,2021-03-17
40,82.87,82.75,16:35:00,2021-03-17
41,82.88,82.78,16:40:00,2021-03-17
42,82.85,82.81,16:45:00,2021-03-17
43,82.85,82.8,16:50:00,2021-03-17
44,82.85,82.8,16:55:00,2021-03-17
45,78.3,78.15,13:05:00,2021-03-18
46,78.3,78.21,13:10:00,2021-03-18
47,78.2601,78.25,13:15:00,2021-03-18
48,78.29,78.12,13:20:00,2021-03-18
49,78.43,78.27,13:25:00,2021-03-18
50,78.43,78.3201,13:30:00,2021-03-18
51,78.4,78.33,13:35:00,2021-03-18
52,78.4,78.12,13:40:00,2021-03-18
53,78.4,78.31,13:45:00,2021-03-18
54,78.37,78.31,13:50:00,2021-03-18
55,78.37,78.25,13:55:00,2021-03-18
56,78.37,78.3299,14:00:00,2021-03-18
57,78.37,78.33,14:05:00,2021-03-18
58,78.3501,78.35,14:10:00,2021-03-18
59,78.38,78.35,14:15:00,2021-03-18
60,78.4,78.36,14:20:00,2021-03-18
61,78.39,78.37,14:25:00,2021-03-18
62,78.4,78.38,14:30:00,2021-03-18
63,78.41,78.39,14:35:00,2021-03-18
64,78.4,78.39,14:40:00,2021-03-18
65,78.4,78.39,14:45:00,2021-03-18
66,78.39,78.37,14:50:00,2021-03-18
67,78.4,78.37,14:55:00,2021-03-18
68,78.4,78.37,15:00:00,2021-03-18
69,78.4,78.4,15:05:00,2021-03-18
70,78.4,78.4,15:10:00,2021-03-18
71,78.41,78.4,15:15:00,2021-03-18
72,78.41,78.37,15:20:00,2021-03-18
73,78.35,78.3,15:25:00,2021-03-18
74,78.37,78.31,15:30:00,2021-03-18
75,78.3801,78.37,15:35:00,2021-03-18
76,78.41,78.37,15:40:00,2021-03-18
77,78.39,78.37,15:45:00,2021-03-18
78,78.39,78.35,15:50:00,2021-03-18
79,78.39,78.33,15:55:00,2021-03-18
80,78.33,78.31,16:00:00,2021-03-18
81,78.35,78.31,16:05:00,2021-03-18
82,78.32,78.29,16:10:00,2021-03-18
83,78.33,78.28,16:15:00,2021-03-18
84,78.31,78.28,16:20:00,2021-03-18
85,78.31,78.2801,16:25:00,2021-03-18
86,78.34,78.31,16:30:00,2021-03-18
87,78.35,78.31,16:35:00,2021-03-18
88,78.32,78.3,16:40:00,2021-03-18
89,78.35,78.29,16:45:00,2021-03-18
90,78.35,78.28,16:50:00,2021-03-18
