,premarket high,premarket low,premarket hour,hour,date
0,81.73,81.73,01:00:00,01:00:00,2021-03-18
1,82.0,82.0,01:05:00,01:05:00,2021-03-18
2,81.89,81.75,01:15:00,01:15:00,2021-03-18
3,81.83,81.8,01:25:00,01:25:00,2021-03-18
4,81.5,81.5,01:40:00,01:40:00,2021-03-18
5,81.4,81.39,01:55:00,01:55:00,2021-03-18
6,81.5,81.3,02:00:00,02:00:00,2021-03-18
7,81.3,81.3,02:05:00,02:05:00,2021-03-18
8,81.2,81.1,02:10:00,02:10:00,2021-03-18
9,81.3,81.2,02:15:00,02:15:00,2021-03-18
10,81.5,81.5,02:20:00,02:20:00,2021-03-18
11,81.6,81.6,02:35:00,02:35:00,2021-03-18
12,81.86,81.8,02:45:00,02:45:00,2021-03-18
13,81.6,81.6,02:55:00,02:55:00,2021-03-18
14,81.72,81.72,03:05:00,03:05:00,2021-03-18
15,81.72,81.72,03:10:00,03:10:00,2021-03-18
16,81.8,81.79,03:20:00,03:20:00,2021-03-18
17,81.86,81.86,03:25:00,03:25:00,2021-03-18
18,82.0,81.86,03:30:00,03:30:00,2021-03-18
19,82.0,82.0,03:40:00,03:40:00,2021-03-18
20,81.94,81.94,03:50:00,03:50:00,2021-03-18
21,82.1,82.02,03:55:00,03:55:00,2021-03-18
22,82.12,81.86,04:00:00,04:00:00,2021-03-18
23,81.9,81.75,04:05:00,04:05:00,2021-03-18
24,81.78,81.66,04:10:00,04:10:00,2021-03-18
25,81.85,81.71,04:15:00,04:15:00,2021-03-18
26,81.74,81.71,04:25:00,04:25:00,2021-03-18
27,81.71,81.5,04:30:00,04:30:00,2021-03-18
28,81.5,81.07,04:35:00,04:35:00,2021-03-18
29,81.15,81.07,04:40:00,04:40:00,2021-03-18
30,81.58,81.22,04:45:00,04:45:00,2021-03-18
31,81.55,81.37,04:50:00,04:50:00,2021-03-18
32,81.55,81.45,04:55:00,04:55:00,2021-03-18
33,81.51,81.31,05:00:00,05:00:00,2021-03-18
34,81.41,81.34,05:05:00,05:05:00,2021-03-18
35,81.41,81.27,05:10:00,05:10:00,2021-03-18
36,81.34,81.17,05:15:00,05:15:00,2021-03-18
37,81.37,81.25,05:20:00,05:20:00,2021-03-18
38,81.49,81.37,05:25:00,05:25:00,2021-03-18
39,81.42,81.21,05:30:00,05:30:00,2021-03-18
40,81.43,81.29,05:35:00,05:35:00,2021-03-18
41,81.42,81.3,05:40:00,05:40:00,2021-03-18
42,81.37,81.28,05:45:00,05:45:00,2021-03-18
43,81.36,81.32,05:50:00,05:50:00,2021-03-18
44,81.43,81.32,05:55:00,05:55:00,2021-03-18
45,81.36,81.24,06:00:00,06:00:00,2021-03-18
46,81.35,81.15,06:05:00,06:05:00,2021-03-18
47,81.24,81.15,06:10:00,06:10:00,2021-03-18
48,81.22,81.2,06:15:00,06:15:00,2021-03-18
49,81.21,81.1701,06:20:00,06:20:00,2021-03-18
50,81.25,81.0,06:25:00,06:25:00,2021-03-18
