,open,high,low,close,volume,date,,,,Tick open,Spy gap percentage,Spy close percentage
0,323.35,326.16,323.22,324.12,69242293,2/2/2020 22:00,,,,1230,0.248720352,0.562807166
1,328.07,330.01,327.72,329.06,62573190,2/3/2020 22:00,,,,1052,0.222669157,0.562807166
2,332.27,333.09,330.67,332.86,65951146,2/4/2020 22:00,,,,1105,0.13074744,0.562807166
3,333.91,334.19,332.8,333.98,50359688,2/5/2020 22:00,,,,1044,0.247724035,0.562807166
4,332.82,333.9941,331.6,332.2,64139443,2/6/2020 22:00,,,,1003,0.235706515,0.562807166
5,331.23,334.75,331.19,334.68,42070006,2/9/2020 22:00,,,,1075,0.214250557,0.562807166
6,336.16,337.02,334.684,335.26,54864533,2/10/2020 22:00,,,,1128,0.044148811,0.562807166
7,336.83,337.65,336.43,337.42,43992662,2/11/2020 22:00,,,,1156,0.171807249,0.562807166
8,335.8621,338.12,335.56,337.06,54501922,2/12/2020 22:00,,,,1066,0.191803766,0.562807166
9,337.51,337.73,336.2,337.6,64582210,2/13/2020 22:00,,,,1308,0.210642724,0.562807166
10,336.51,337.6677,335.21,336.73,57342526,2/17/2020 22:00,,,,,,
11,337.79,339.08,337.48,338.34,48814692,2/18/2020 22:00,,,,,,
12,337.7423,338.64,333.6817,336.95,74163362,2/19/2020 22:00,,,,,,
13,335.47,335.81,332.58,333.48,113788208,2/20/2020 22:00,,,,,,
14,323.14,333.5623,321.24,322.42,161088409,2/23/2020 22:00,,,,,,
15,323.94,324.61,311.69,312.65,218913168,2/24/2020 22:00,,,,,,
16,314.18,318.11,310.7,311.5,194773819,2/25/2020 22:00,,,,,,
17,305.46,311.5637,297.51,297.51,284353459,2/26/2020 22:00,,,,,,
18,288.7,297.892,285.54,296.26,385764020,2/27/2020 22:00,,,,,,
19,298.21,309.16,294.46,309.09,238703625,3/1/2020 22:00,,,,,,
20,309.5,313.84,297.57,300.24,300139149,3/2/2020 22:00,,,,,,
21,306.12,313.1,303.33,312.86,176613448,3/3/2020 22:00,,,,,,
22,304.98,308.47,300.01,302.46,186366809,3/4/2020 22:00,,,,,,
23,293.15,298.78,290.23,297.46,228667168,3/5/2020 22:00,,,,,,
24,275.3,284.19,273.45,274.23,309417349,3/8/2020 22:00,,,,,,
25,284.64,288.52,273.5,288.42,276444058,3/9/2020 22:00,,,,,,
26,280.7,281.94,270.88,274.36,256416563,3/10/2020 22:00,,,,,,
27,256,266.66,247.68,248.11,392220669,3/11/2020 22:00,,,,,,
28,263.09,271.4754,248.5237,269.32,329566100,3/12/2020 22:00,,,,,,
29,241.18,256.9,237.36,239.85,297240027,3/15/2020 22:00,,,,,,
30,245.04,256.17,237.07,252.8,262070471,3/16/2020 22:00,,,,,,
31,236.25,248.37,228.02,240,327597131,3/17/2020 22:00,,,,,,
32,239.25,247.38,232.22,240.51,289322037,3/18/2020 22:00,,,,,,
33,242.53,244.47,228.5,228.8,347158794,3/19/2020 22:00,,,,,,
34,228.19,229.6833,218.26,222.95,326025169,3/22/2020 22:00,,,,,,
35,234.42,244.1,233.8,243.15,235494475,3/23/2020 22:00,,,,,,
36,244.87,256.35,239.75,246.79,299430255,3/24/2020 22:00,,,,,,
37,249.52,262.8,249.05,261.2,257632816,3/25/2020 22:00,,,,,,
38,253.27,260.81,251.05,253.42,224341217,3/26/2020 22:00,,,,,,
39,255.7,262.43,253.53,261.65,170961866,3/29/2020 22:00,,,,,,
40,260.56,263.33,256.22,257.75,194881060,3/30/2020 22:00,,,,,,
41,247.98,257.6591,243.9,246.15,189554623,3/31/2020 22:00,,,,,,
42,245.19,252.68,244.59,251.83,177660430,4/1/2020 22:00,,,,,,
43,250.76,253.32,245.22,248.19,135561171,4/2/2020 22:00,,,,,,
44,257.84,267,248.1698,264.86,188061238,4/5/2020 22:00,,,,,,
45,274.21,275.03,264.89,265.13,201427189,4/6/2020 22:00,,,,,,
46,267.96,276,265.2542,274.03,153774487,4/7/2020 22:00,,,,,,
47,277.58,281.2,275.47,278.2,190282705,4/8/2020 22:00,,,,,,
48,277.14,277.51,271.41,275.66,114839053,4/12/2020 22:00,,,,,,
49,280.98,284.9,275.5106,283.79,134143350,4/13/2020 22:00,,,,,,
50,277.57,283.9407,275.46,277.76,121775006,4/14/2020 22:00,,,,,,
51,279.15,280.03,275.76,279.1,131798325,4/15/2020 22:00,,,,,,
52,285.38,287.3,282.4,286.64,146684784,4/16/2020 22:00,,,,,,
53,282.61,286.7912,281.35,281.59,100109285,4/19/2020 22:00,,,,,,
54,276.73,278.04,272.02,273.04,126385698,4/20/2020 22:00,,,,,,
55,278.35,281,276.91,279.1,93524584,4/21/2020 22:00,,,,,,
56,280.49,283.94,278.75,279.08,104709693,4/22/2020 22:00,,,,,,
57,280.73,283.7,278.5,282.97,85165953,4/23/2020 22:00,,,,,,
58,285.12,288.27,284.62,287.05,77896608,4/26/2020 22:00,,,,,,
59,291.02,291.4,285.4,285.73,105269985,4/27/2020 22:00,,,,,,
60,291.53,294.88,290.41,293.21,118745579,4/28/2020 22:00,,,,,,
61,291.71,293.3239,288.59,290.48,122901701,4/29/2020 22:00,,,,,,
62,285.31,290.6572,281.52,282.79,125180028,4/30/2020 22:00,,,,,,
63,280.74,283.9,279.13,283.57,80873213,5/3/2020 22:00,,,,,,
64,286.64,289.25,283.7134,286.19,79569938,5/4/2020 22:00,,,,,,
65,288.04,288.46,283.78,284.25,73632628,5/5/2020 22:00,,,,,,
66,287.75,289.78,287.13,287.68,75250412,5/6/2020 22:00,,,,,,
67,291.09,292.95,289.86,292.44,76622128,5/7/2020 22:00,,,,,,
68,290.34,294,289.88,292.5,79514231,5/10/2020 22:00,,,,,,
69,293.79,294.24,286.52,286.67,95870786,5/11/2020 22:00,,,,,,
70,286.06,287.19,278.965,281.6,144721099,5/12/2020 22:00,,,,,,
71,278.95,285.11,272.99,284.97,121977890,5/13/2020 22:00,,,,,,
72,282.37,286.33,281.34,286.28,111146276,5/14/2020 22:00,,,,,,
73,293.05,296.75,292.7,295,120320229,5/17/2020 22:00,,,,,,
74,294.35,296.205,291.95,291.97,95189316,5/18/2020 22:00,,,,,,
75,295.82,297.87,295.57,296.93,85861691,5/19/2020 22:00,,,,,,
76,296.79,297.67,293.6886,294.88,78293925,5/20/2020 22:00,,,,,,
77,294.57,295.63,293.22,295.44,63958200,5/21/2020 22:00,,,,,,
78,301.93,302.19,295.4646,299.08,88951442,5/25/2020 22:00,,,,,,
79,302.12,303.57,296.87,303.53,104817449,5/26/2020 22:00,,,,,,
80,304.65,306.84,302.24,302.97,90767807,5/27/2020 22:00,,,,,,
81,302.46,304.96,299.47,304.32,119265702,5/28/2020 22:00,,,,,,
82,303.62,306.205,303.06,305.55,56779836,5/31/2020 22:00,,,,,,
83,306.55,308.13,305.1,308.08,74267162,6/1/2020 22:00,,,,,,
84,310.24,313.22,309.94,312.18,92567574,6/2/2020 22:00,,,,,,
85,311.11,313,309.08,311.36,75794363,6/3/2020 22:00,,,,,,
86,317.23,321.275,317.16,319.34,150524674,6/4/2020 22:00,,,,,,
87,320.22,323.41,319.63,323.2,73641217,6/7/2020 22:00,,,,,,
88,320.3,323.2849,319.36,320.79,77479228,6/8/2020 22:00,,,,,,
89,321.42,322.39,318.2209,319,95000766,6/9/2020 22:00,,,,,,
90,311.46,312.15,300.01,300.61,209243560,6/10/2020 22:00,,,,,,
91,308.24,309.08,298.6,304.21,194678879,6/11/2020 22:00,,,,,,
92,298.02,308.28,296.74,307.05,135782724,6/14/2020 22:00,,,,,,
93,315.48,315.64,307.67,312.96,137627502,6/15/2020 22:00,,,,,,
94,314.07,314.39,310.86,311.66,83398944,6/16/2020 22:00,,,,,,
95,310.005,312.3,309.51,311.78,80828658,6/17/2020 22:00,,,,,,
96,314.17,314.38,306.53,308.64,135549624,6/18/2020 22:00,,,,,,
97,307.99,311.05,306.75,310.62,74649389,6/21/2020 22:00,,,,,,
98,313.49,314.5,311.6101,312.05,68471246,6/22/2020 22:00,,,,,,
99,309.84,310.51,302.1,304.09,132813492,6/23/2020 22:00,,,,,,
100,303.47,307.64,301.28,307.35,89467968,6/24/2020 22:00,,,,,,
101,306.16,306.39,299.42,300.05,127961017,6/25/2020 22:00,,,,,,
102,301.41,304.61,298.93,304.46,79773260,6/28/2020 22:00,,,,,,
103,303.99,310.2,303.82,308.36,113394772,6/29/2020 22:00,,,,,,
104,309.57,311.89,309.07,310.52,72396542,6/30/2020 22:00,,,,,,
105,314.24,315.7,311.51,312.23,69344217,7/1/2020 22:00,,,,,,
106,316.37,317.68,315.56,317.05,61713828,7/5/2020 22:00,,,,,,
107,315.38,317.52,313.37,313.78,82909963,7/6/2020 22:00,,,,,,
