,open,high,low,close,volume,date
0,330.9,332.18,330.82,331.3,77742415.0,2020-01-20 22:00:00
1,332.24,332.95,331.17,331.34,48914899.0,2020-01-21 22:00:00
2,330.63,332.1682,329.41,331.72,51962994.0,2020-01-22 22:00:00
3,332.44,332.53,327.36,328.77,87578442.0,2020-01-23 22:00:00
4,323.03,325.12,322.66,323.5,84062463.0,2020-01-26 22:00:00
5,325.06,327.85,323.6038,326.89,63833953.0,2020-01-27 22:00:00
6,328.38,328.63,326.4,326.62,54040889.0,2020-01-28 22:00:00
7,324.36,327.91,323.54,327.68,75491844.0,2020-01-29 22:00:00
8,327.0,327.17,320.73,321.73,113845576.0,2020-01-30 22:00:00
9,323.35,326.16,323.22,324.12,69242293.0,2020-02-02 22:00:00
10,328.07,330.01,327.72,329.06,62573190.0,2020-02-03 22:00:00
11,332.27,333.09,330.67,332.86,65951146.0,2020-02-04 22:00:00
12,333.91,334.19,332.8,333.98,50359688.0,2020-02-05 22:00:00
13,332.82,333.9941,331.6,332.2,64139443.0,2020-02-06 22:00:00
14,331.23,334.75,331.19,334.68,42070006.0,2020-02-09 22:00:00
15,336.16,337.02,334.684,335.26,54864533.0,2020-02-10 22:00:00
16,336.83,337.65,336.43,337.42,43992662.0,2020-02-11 22:00:00
17,335.8621,338.12,335.56,337.06,54501922.0,2020-02-12 22:00:00
18,337.51,337.73,336.2,337.6,64582210.0,2020-02-13 22:00:00
19,336.51,337.6677,335.21,336.73,57342526.0,2020-02-17 22:00:00
20,337.79,339.08,337.48,338.34,48814692.0,2020-02-18 22:00:00
21,337.7423,338.64,333.6817,336.95,74163362.0,2020-02-19 22:00:00
22,335.47,335.81,332.58,333.48,113788208.0,2020-02-20 22:00:00
23,323.14,333.5623,321.24,322.42,161088409.0,2020-02-23 22:00:00
24,323.94,324.61,311.69,312.65,218913168.0,2020-02-24 22:00:00
25,314.18,318.11,310.7,311.5,194773819.0,2020-02-25 22:00:00
26,305.46,311.5637,297.51,297.51,284353459.0,2020-02-26 22:00:00
27,288.7,297.892,285.54,296.26,385764020.0,2020-02-27 22:00:00
28,298.21,309.16,294.46,309.09,238703625.0,2020-03-01 22:00:00
29,309.5,313.84,297.57,300.24,300139149.0,2020-03-02 22:00:00
30,306.12,313.1,303.33,312.86,176613448.0,2020-03-03 22:00:00
31,304.98,308.47,300.01,302.46,186366809.0,2020-03-04 22:00:00
32,293.15,298.78,290.23,297.46,228667168.0,2020-03-05 22:00:00
33,275.3,284.19,273.45,274.23,309417349.0,2020-03-08 22:00:00
34,284.64,288.52,273.5,288.42,276444058.0,2020-03-09 22:00:00
35,280.7,281.94,270.88,274.36,256416563.0,2020-03-10 22:00:00
36,256.0,266.66,247.68,248.11,392220669.0,2020-03-11 22:00:00
37,263.09,271.4754,248.5237,269.32,329566100.0,2020-03-12 22:00:00
38,241.18,256.9,237.36,239.85,297240027.0,2020-03-15 22:00:00
39,245.04,256.17,237.07,252.8,262070471.0,2020-03-16 22:00:00
40,236.25,248.37,228.02,240.0,327597131.0,2020-03-17 22:00:00
41,239.25,247.38,232.22,240.51,289322037.0,2020-03-18 22:00:00
42,242.53,244.47,228.5,228.8,347158794.0,2020-03-19 22:00:00
43,228.19,229.6833,218.26,222.95,326025169.0,2020-03-22 22:00:00
44,234.42,244.1,233.8,243.15,235494475.0,2020-03-23 22:00:00
45,244.87,256.35,239.75,246.79,299430255.0,2020-03-24 22:00:00
46,249.52,262.8,249.05,261.2,257632816.0,2020-03-25 22:00:00
47,253.27,260.81,251.05,253.42,224341217.0,2020-03-26 22:00:00
48,255.7,262.43,253.53,261.65,170961866.0,2020-03-29 22:00:00
49,260.56,263.33,256.22,257.75,194881060.0,2020-03-30 22:00:00
50,247.98,257.6591,243.9,246.15,189554623.0,2020-03-31 22:00:00
51,245.19,252.68,244.59,251.83,177660430.0,2020-04-01 22:00:00
52,250.76,253.32,245.22,248.19,135561171.0,2020-04-02 22:00:00
53,257.84,267.0,248.1698,264.86,188061238.0,2020-04-05 22:00:00
54,274.21,275.03,264.89,265.13,201427189.0,2020-04-06 22:00:00
55,267.96,276.0,265.2542,274.03,153774487.0,2020-04-07 22:00:00
56,277.58,281.2,275.47,278.2,190282705.0,2020-04-08 22:00:00
57,277.14,277.51,271.41,275.66,114839053.0,2020-04-12 22:00:00
58,280.98,284.9,275.5106,283.79,134143350.0,2020-04-13 22:00:00
59,277.57,283.9407,275.46,277.76,121775006.0,2020-04-14 22:00:00
60,279.15,280.03,275.76,279.1,131798325.0,2020-04-15 22:00:00
61,285.38,287.3,282.4,286.64,146684784.0,2020-04-16 22:00:00
62,282.61,286.7912,281.35,281.59,100109285.0,2020-04-19 22:00:00
63,276.73,278.04,272.02,273.04,126385698.0,2020-04-20 22:00:00
64,278.35,281.0,276.91,279.1,93524584.0,2020-04-21 22:00:00
