,open,high,low,close,volume,date
0,82.72,82.83,82.45,82.48,3922.0,2021-03-17 04:00:00
1,82.6,82.6,82.51,82.51,3180.0,2021-03-17 04:05:00
2,82.51,82.51,82.28,82.28,5578.0,2021-03-17 04:10:00
3,82.3,82.3,82.08,82.08,3254.0,2021-03-17 04:15:00
4,82.08,82.25,82.07,82.25,2469.0,2021-03-17 04:20:00
5,82.2,82.2,81.95,81.95,6634.0,2021-03-17 04:25:00
6,81.95,81.95,81.54,81.66,9432.0,2021-03-17 04:30:00
7,81.66,81.66,81.33,81.6,10149.0,2021-03-17 04:35:00
8,81.59,81.66,81.59,81.6,1891.0,2021-03-17 04:40:00
9,81.6,81.6,81.51,81.51,4073.0,2021-03-17 04:45:00
10,81.5,81.54,81.5,81.5,4242.0,2021-03-17 04:50:00
11,81.52,81.65,81.43,81.5,26232.0,2021-03-17 04:55:00
12,81.43,81.52,81.3998,81.41,3702.0,2021-03-17 05:00:00
13,81.4101,81.488,81.3,81.45,11984.0,2021-03-17 05:05:00
14,81.44,81.59,81.38,81.51,11814.0,2021-03-17 05:10:00
15,81.55,81.67,81.55,81.58,12955.0,2021-03-17 05:15:00
16,81.57,81.62,81.47,81.49,2839.0,2021-03-17 05:20:00
17,81.45,81.5,81.4,81.45,8866.0,2021-03-17 05:25:00
18,81.4259,81.63,81.4,81.57,4518.0,2021-03-17 05:30:00
19,81.62,81.64,81.55,81.59,4591.0,2021-03-17 05:35:00
20,81.59,81.59,81.49,81.52,5489.0,2021-03-17 05:40:00
21,81.53,81.65,81.5,81.5,12470.0,2021-03-17 05:45:00
22,81.5,81.6,81.5,81.6,9646.0,2021-03-17 05:50:00
23,81.55,81.8,81.52,81.71,19155.0,2021-03-17 05:55:00
24,81.7,81.7,81.52,81.53,5939.0,2021-03-17 06:00:00
25,81.52,81.52,81.41,81.47,11693.0,2021-03-17 06:05:00
26,81.5,81.65,81.49,81.52,6944.0,2021-03-17 06:10:00
27,81.58,81.59,81.41,81.49,7478.0,2021-03-17 06:15:00
28,82.7128,82.7128,81.5,81.51,1382.0,2021-03-17 06:20:00
29,81.47,81.84,81.47,81.77,11446.0,2021-03-17 06:25:00
30,81.74,82.02,81.27,81.6901,1113944.0,2021-03-17 06:30:00
31,81.715,81.8,80.61,80.79,1153939.0,2021-03-17 06:35:00
32,80.79,81.49,80.62,81.49,858473.0,2021-03-17 06:40:00
33,81.48,81.775,80.95,81.65,879844.0,2021-03-17 06:45:00
34,81.64,81.88,81.4699,81.625,626961.0,2021-03-17 06:50:00
35,81.63,81.63,81.15,81.4816,566148.0,2021-03-17 06:55:00
