Open Datetime,Close Datetime,Symbol,Side,Volume,Exec Count,Entry Price,Exit Price,Gross P&L,Gross P&L (%),Shared,Tags,Gross P&L (t),Net P&L,Commissions,Fees,Initial Risk,Position MFE,Position MAE,Price MFE,Price MAE,Position MFE Datetime,Position MAE Datetime,Price MFE Datetime,Price MAE Datetime,Best Exit P&L,Best Exit Datetime
8/23/2021 9:30,8/23/2021 9:30,NVDA,L,100,8,210.43,210.71,31.55,0.3,FALSE,"Live,Opening Drive,fix risk management,missed op",,31.48,0.07,0,,31.55,0,2.12,-0.93,8/23/2021 9:30,,8/23/2021 9:30,8/23/2021 9:30,124.15,8/23/2021 15:06
8/23/2021 9:31,8/23/2021 9:31,NVDA,L,20,3,211.96,212.63,5.5,0.26,FALSE,"Live,opening drive pullback",,5.486,0.014,0,,5.5,0,0.97,-0.92,8/23/2021 9:31,,8/23/2021 9:31,8/23/2021 9:31,20.9,8/23/2021 9:32
8/23/2021 9:32,8/23/2021 9:33,AMD,L,200,7,106.16,106.66,40.4,0.38,FALSE,"Live,Opening Drive,Premarket resistnace breakout",,40.26,0.14,0,,41.7,0,0.78,0,8/23/2021 9:32,,8/23/2021 9:32,8/23/2021 9:32,52.2,8/23/2021 15:53
8/23/2021 9:33,8/23/2021 9:34,AMD,L,430,6,106.8,106.72,-38.7,-0.17,FALSE,"Live,breakout whole dollar,opening drive pullback",,-39.001,0.301,0,,0,-38.7,0.22,-0.08,,8/23/2021 9:34,8/23/2021 9:34,8/23/2021 9:34,1.2,8/23/2021 9:35
8/23/2021 9:34,8/23/2021 9:37,AMD,L,260,11,106.63,107,56.9,0.41,FALSE,"Live,breakout HOD,opening drive pullback",,56.718,0.182,0,,66.1,-55,0.6,-0.4,8/23/2021 9:36,8/23/2021 9:35,8/23/2021 9:36,8/23/2021 9:35,137.7,8/23/2021 15:53
8/23/2021 9:37,8/23/2021 9:38,NVDA,L,50,2,214.38,213.83,-13.75,-0.26,FALSE,"Live,breakout HOD",,-13.785,0.035,0,,0,-13.75,0,-0.55,,8/23/2021 9:38,8/23/2021 9:37,8/23/2021 9:38,0,8/23/2021 9:37
8/23/2021 9:38,8/23/2021 9:41,AMD,L,50,3,106.91,106.84,0.55,0.02,FALSE,"Bounce from prior HOD,Live,retest support",,0.515,0.035,0,,7.25,-3.75,0.29,-0.15,8/23/2021 9:39,8/23/2021 9:39,8/23/2021 9:39,8/23/2021 9:39,11.95,8/23/2021 9:49
8/23/2021 9:40,8/23/2021 9:44,NVDA,L,30,4,214.06,214.4,5.55,0.17,FALSE,"Live,breakout HOD,consolidation breakout",,5.529,0.021,0,,9.7,-7.251,0.66,-1.3,8/23/2021 9:43,8/23/2021 9:42,8/23/2021 9:43,8/23/2021 9:41,13.65,8/23/2021 9:45
8/23/2021 9:42,8/23/2021 9:42,BABA,L,200,2,153.95,153.82,-13,-0.08,FALSE,"Live,fade LOD,missed op,re bid",,-13.14,0.14,0,,0,-13,0.5999,-0.25,,8/23/2021 9:42,8/23/2021 9:42,8/23/2021 9:42,190,8/23/2021 9:52
8/23/2021 9:42,8/23/2021 10:20,BABA,L,50,7,154.32,154.21,20.15,0.52,FALSE,"Live,fade LOD",,20.115,0.035,0,,24.9,-3.9,1.53,-1.22,8/23/2021 10:14,8/23/2021 9:43,8/23/2021 9:52,8/23/2021 10:05,56.45,8/23/2021 15:59
8/23/2021 9:46,8/23/2021 9:49,AMD,L,300,11,107.15,107.4,24.01,0.15,FALSE,"Live,breakout HOD,consolidation breakout",,23.8,0.21,0,,29.46,-29.94,0.42,-0.18,8/23/2021 9:48,8/23/2021 9:48,8/23/2021 9:48,8/23/2021 9:47,30.01,8/23/2021 9:49
8/23/2021 9:46,8/23/2021 10:00,PFE,L,50,3,49.93,50.58,12.65,1.01,FALSE,"Live,breakout of VWAP,morning below VWAP",,12.615,0.035,0,,15.65,-2,0.85,-0.08,8/23/2021 9:58,8/23/2021 9:48,8/23/2021 9:58,8/23/2021 9:48,24.35,8/23/2021 10:06
8/23/2021 10:15,8/23/2021 10:21,AMD,L,50,2,106.76,106.71,-1.25,-0.05,FALSE,"Live,bounce from VWAP",,-1.285,0.035,0,,5,-1.7475,0.2,-0.0699,8/23/2021 10:20,8/23/2021 10:16,8/23/2021 10:20,8/23/2021 10:16,5,8/23/2021 10:20
8/23/2021 10:29,8/23/2021 10:36,BABA,L,50,3,153.13,153.31,4.9,0.13,FALSE,"Live,fade LOD",,4.865,0.035,0,,10,-6,0.52,-0.24,8/23/2021 10:33,8/23/2021 10:32,8/23/2021 10:33,8/23/2021 10:32,127.3,8/23/2021 15:59
