,open,high,low,close,volume,date
0,53.37,53.45,52.55,52.74,21290433.0,2020-02-02 22:00:00
1,53.5,53.92,52.83,52.93,19819836.0,2020-02-03 22:00:00
2,53.81,55.11,53.78,54.92,34381974.0,2020-02-04 22:00:00
3,55.18,55.18,54.27,54.36,15400630.0,2020-02-05 22:00:00
4,53.95,54.21,53.7001,53.98,13693685.0,2020-02-06 22:00:00
5,53.7,53.83,53.38,53.71,14640594.0,2020-02-09 22:00:00
6,54.44,54.52,54.065,54.31,13844593.0,2020-02-10 22:00:00
7,55.12,55.35,54.59,55.04,17199814.0,2020-02-11 22:00:00
8,54.89,55.1801,54.55,54.87,11974888.0,2020-02-12 22:00:00
9,55.06,55.1,54.24,54.58,12520109.0,2020-02-13 22:00:00
10,54.1,54.5707,53.625,54.13,16314908.0,2020-02-17 22:00:00
11,54.49,55.07,54.1922,54.85,12455425.0,2020-02-18 22:00:00
12,54.99,55.4,54.65,54.79,13050826.0,2020-02-19 22:00:00
13,54.27,54.32,53.69,54.14,13808205.0,2020-02-20 22:00:00
14,52.1,52.4,51.48,51.64,33037501.0,2020-02-23 22:00:00
15,51.78,51.82,49.04,49.36,42837329.0,2020-02-24 22:00:00
16,49.54,49.78,47.85,47.87,48828313.0,2020-02-25 22:00:00
17,46.63,47.525,45.29,45.31,61278725.0,2020-02-26 22:00:00
18,43.88,45.84,43.515,45.27,68764415.0,2020-02-27 22:00:00
19,46.28,47.16,44.93,47.1,36642667.0,2020-03-01 22:00:00
20,47.37,47.99,45.15,45.66,48595314.0,2020-03-02 22:00:00
21,46.64,46.75,45.67,46.74,24484539.0,2020-03-03 22:00:00
22,45.4,45.61,44.275,45.03,29387322.0,2020-03-04 22:00:00
23,43.5,43.89,41.86,42.5,61517408.0,2020-03-05 22:00:00
24,35.07,36.43,33.73,33.94,66556947.0,2020-03-08 22:00:00
25,36.67,36.82,33.36,35.55,48431137.0,2020-03-09 22:00:00
26,34.45,35.05,33.13,33.67,43492869.0,2020-03-10 22:00:00
27,31.19,32.0,29.38,29.47,38829069.0,2020-03-11 22:00:00
28,31.96,32.22,28.8,32.19,34098421.0,2020-03-12 22:00:00
29,27.95,31.115,27.67,27.81,40233594.0,2020-03-15 22:00:00
30,28.08,29.18,26.95,28.0,45443564.0,2020-03-16 22:00:00
31,26.04,26.58,22.88,23.98,52135809.0,2020-03-17 22:00:00
32,24.33,25.71,22.9801,25.61,52226458.0,2020-03-18 22:00:00
33,26.26,26.835,24.76,25.86,58357226.0,2020-03-19 22:00:00
34,25.13,25.29,23.15,23.57,48260209.0,2020-03-22 22:00:00
35,25.4,27.49,25.4,27.35,44511075.0,2020-03-23 22:00:00
36,27.95,30.0,26.74,28.64,52434902.0,2020-03-24 22:00:00
37,28.93,31.0,28.57,30.39,46918069.0,2020-03-25 22:00:00
38,29.12,29.21,28.16,28.33,36528419.0,2020-03-26 22:00:00
39,27.95,28.87,27.09,28.62,42127400.0,2020-03-29 22:00:00
40,29.42,30.0,28.48,29.06,34350607.0,2020-03-30 22:00:00
41,28.12,28.48,27.2303,27.62,23826458.0,2020-03-31 22:00:00
42,29.01,31.76,28.26,30.15,73128147.0,2020-04-01 22:00:00
43,31.1,31.31,28.975,29.83,63834325.0,2020-04-02 22:00:00
44,30.5,31.62,30.09,31.41,38020723.0,2020-04-05 22:00:00
45,32.96,33.87,32.02,32.08,51509497.0,2020-04-06 22:00:00
46,32.76,34.33,32.49,34.22,41905812.0,2020-04-07 22:00:00
47,35.54,36.46,32.6245,33.91,91381541.0,2020-04-08 22:00:00
48,35.09,35.22,33.26,33.8,33842840.0,2020-04-12 22:00:00
49,33.97,34.38,33.42,33.64,36324070.0,2020-04-13 22:00:00
50,32.3,32.38,31.06,32.06,36710536.0,2020-04-14 22:00:00
51,31.98,32.08,30.645,30.69,32302898.0,2020-04-15 22:00:00
52,31.33,33.99,31.31,33.95,45853438.0,2020-04-16 22:00:00
53,31.95,34.1,31.78,32.89,56394974.0,2020-04-19 22:00:00
54,31.94,32.895,31.39,32.31,60430757.0,2020-04-20 22:00:00
55,33.77,33.99,33.01,33.46,36894144.0,2020-04-21 22:00:00
56,34.48,35.345,34.14,34.54,41603647.0,2020-04-22 22:00:00
57,35.23,35.54,34.07,34.62,32441516.0,2020-04-23 22:00:00
58,34.36,35.62,33.5758,35.37,23288037.0,2020-04-26 22:00:00
59,35.9,36.4,35.32,36.18,29569013.0,2020-04-27 22:00:00
60,37.37,38.99,37.34,38.86,35537494.0,2020-04-28 22:00:00
61,39.08,39.08,37.44,38.0,42020062.0,2020-04-29 22:00:00
62,37.22,37.5,35.41,35.85,29265931.0,2020-04-30 22:00:00
63,35.19,37.12,35.02,37.09,26390227.0,2020-05-03 22:00:00
64,38.61,38.92,36.99,37.12,34366717.0,2020-05-04 22:00:00
65,37.3,37.62,36.12,36.15,23675053.0,2020-05-05 22:00:00
66,37.17,37.7934,36.83,37.09,24240499.0,2020-05-06 22:00:00
67,37.96,38.8,37.74,38.78,24840580.0,2020-05-07 22:00:00
68,38.52,38.63,37.9201,38.1,23265662.0,2020-05-10 22:00:00
69,38.48,38.53,37.38,37.43,28064487.0,2020-05-11 22:00:00
70,37.18,37.23,35.4695,35.73,34497444.0,2020-05-12 22:00:00
71,35.1,36.4696,34.3,36.13,30984194.0,2020-05-13 22:00:00
72,36.14,36.89,35.67,35.99,27213861.0,2020-05-14 22:00:00
73,38.05,39.18,37.95,38.93,36597396.0,2020-05-17 22:00:00
74,38.98,39.1,37.81,37.84,26970315.0,2020-05-18 22:00:00
75,38.62,39.42,38.418,39.35,27260646.0,2020-05-19 22:00:00
76,39.47,39.625,38.41,38.72,28120869.0,2020-05-20 22:00:00
77,38.41,38.52,37.69,38.48,19247501.0,2020-05-21 22:00:00
78,39.71,39.96,39.445,39.55,37444281.0,2020-05-25 22:00:00
79,40.13,40.36,38.94,40.06,35612830.0,2020-05-26 22:00:00
80,40.16,40.16,38.75,38.94,27179408.0,2020-05-27 22:00:00
81,38.6,39.05,37.95,38.76,35754826.0,2020-05-28 22:00:00
82,38.7,39.655,38.18,39.44,23869771.0,2020-05-31 22:00:00
83,39.87,40.58,39.82,40.54,25159234.0,2020-06-01 22:00:00
84,41.18,41.92,41.1,41.73,27300871.0,2020-06-02 22:00:00
85,41.5,41.9,40.9,41.74,27424720.0,2020-06-03 22:00:00
86,43.83,45.245,43.79,44.84,50196696.0,2020-06-04 22:00:00
87,46.47,46.88,45.43,46.86,47534714.0,2020-06-07 22:00:00
88,45.36,45.49,44.475,45.1,43699499.0,2020-06-08 22:00:00
89,44.68,44.72,42.86,42.88,40488452.0,2020-06-09 22:00:00
90,39.89,41.043,38.71,38.84,48152242.0,2020-06-10 22:00:00
91,40.55,40.84,38.74,39.82,42817532.0,2020-06-11 22:00:00
92,38.12,40.35,37.7,39.94,32852798.0,2020-06-14 22:00:00
93,41.84,41.9,39.92,41.09,32046700.0,2020-06-15 22:00:00
94,40.93,40.94,39.68,39.69,23368029.0,2020-06-16 22:00:00
95,39.29,40.615,39.05,40.18,18468934.0,2020-06-17 22:00:00
96,41.43,41.44,39.53,39.57,26967088.0,2020-06-18 22:00:00
97,38.88,39.38,38.42,39.25,19448200.0,2020-06-21 22:00:00
98,39.84,39.94,39.165,39.29,14805831.0,2020-06-22 22:00:00
99,38.68,38.69,36.86,37.11,32362974.0,2020-06-23 22:00:00
100,36.76,37.955,36.57,37.82,24017220.0,2020-06-24 22:00:00
101,37.55,37.55,36.335,36.51,33861103.0,2020-06-25 22:00:00
102,36.6,37.32,36.435,37.0,19452815.0,2020-06-28 22:00:00
103,36.7,38.07,36.315,37.85,20943436.0,2020-06-29 22:00:00
104,38.0,38.51,36.88,36.93,24573415.0,2020-06-30 22:00:00
105,37.69,38.21,37.2572,37.34,20779169.0,2020-07-01 22:00:00
106,38.0,38.27,36.98,37.45,22542171.0,2020-07-05 22:00:00
107,36.98,37.03,36.2,36.26,20910910.0,2020-07-06 22:00:00
108,36.26,36.82,35.93,36.23,20650858.0,2020-07-07 22:00:00
109,36.07,36.17,34.4,34.44,30543584.0,2020-07-08 22:00:00
110,34.24,35.58,34.24,35.54,25227968.0,2020-07-09 22:00:00
111,35.87,36.01,35.08,35.35,37223780.0,2020-07-12 22:00:00
112,35.11,36.66,35.01,36.59,34221117.0,2020-07-13 22:00:00
113,37.52,37.62,36.83,37.38,25902534.0,2020-07-14 22:00:00
114,37.13,37.685,36.66,37.21,18822756.0,2020-07-15 22:00:00
115,37.33,37.74,36.53,36.69,17716903.0,2020-07-16 22:00:00
116,36.56,36.98,36.05,36.08,20076519.0,2020-07-19 22:00:00
117,36.7,38.55,36.65,38.26,36188840.0,2020-07-20 22:00:00
118,37.85,37.85,37.24,37.79,19621693.0,2020-07-21 22:00:00
119,37.66,37.91,37.24,37.72,21043891.0,2020-07-22 22:00:00
120,37.72,38.28,37.365,37.51,19950569.0,2020-07-23 22:00:00
121,37.46,37.72,36.99,37.55,18230986.0,2020-07-26 22:00:00
122,37.33,37.685,36.81,36.91,17776886.0,2020-07-27 22:00:00
123,37.01,37.71,36.76,37.68,17215023.0,2020-07-28 22:00:00
124,36.89,36.91,35.875,36.2,32833724.0,2020-07-29 22:00:00
125,35.65,36.07,35.295,36.03,24774420.0,2020-07-30 22:00:00
126,36.02,36.36,35.72,36.16,21105539.0,2020-08-02 22:00:00
127,36.04,37.12,36.0058,37.04,22572126.0,2020-08-03 22:00:00
128,37.77,37.9,37.085,37.43,30763500.0,2020-08-04 22:00:00
129,37.22,37.555,36.99,37.13,19190742.0,2020-08-05 22:00:00
130,36.8,37.27,36.37,37.18,18376577.0,2020-08-06 22:00:00
131,37.46,38.345,37.37,38.33,26308068.0,2020-08-09 22:00:00
132,39.08,39.53,38.02,38.2,26513139.0,2020-08-10 22:00:00
133,38.78,39.03,38.17,38.58,25533871.0,2020-08-11 22:00:00
134,38.27,38.59,37.74,37.83,15761049.0,2020-08-12 22:00:00
135,37.53,38.25,37.39,38.19,13279662.0,2020-08-13 22:00:00
136,38.2,38.2197,37.76,37.97,14255817.0,2020-08-16 22:00:00
