,open,high,low,close,volume,date
0,30.17,30.47,30.1493,30.17,40168745.0,2020-02-02 22:00:00
1,30.58,30.75,30.45,30.46,79273314.0,2020-02-03 22:00:00
2,30.87,31.1,30.8,31.07,51086871.0,2020-02-04 22:00:00
3,31.24,31.27,30.965,31.03,37044389.0,2020-02-05 22:00:00
4,30.86,31.01,30.79,30.92,27982485.0,2020-02-06 22:00:00
5,30.82,31.01,30.8101,31.01,17723704.0,2020-02-09 22:00:00
6,31.09,31.26,31.09,31.12,27997359.0,2020-02-10 22:00:00
7,31.28,31.38,31.1,31.14,26964157.0,2020-02-11 22:00:00
8,31.04,31.2,30.9534,31.13,22758975.0,2020-02-12 22:00:00
9,31.1,31.19,31.015,31.17,22080227.0,2020-02-13 22:00:00
10,31.08,31.16,30.72,30.9,37795921.0,2020-02-17 22:00:00
11,31.01,31.21,30.97,31.13,25643251.0,2020-02-18 22:00:00
12,31.02,31.28,30.86,31.07,50344301.0,2020-02-19 22:00:00
13,30.92,30.99,30.6,30.77,51128175.0,2020-02-20 22:00:00
14,29.8,30.06,29.63,29.77,70455449.0,2020-02-23 22:00:00
15,29.78,29.84,28.62,28.76,111826875.0,2020-02-24 22:00:00
16,28.95,29.215,28.55,28.55,95015741.0,2020-02-25 22:00:00
17,27.94,28.39,27.31,27.33,143536169.0,2020-02-26 22:00:00
18,26.4,26.85,25.97,26.59,192064175.0,2020-02-27 22:00:00
19,26.64,27.95,26.36,27.95,127115541.0,2020-03-01 22:00:00
20,27.86,28.25,26.625,26.9,256525000.0,2020-03-02 22:00:00
21,27.26,27.8,26.8,27.79,124407986.0,2020-03-03 22:00:00
22,26.87,26.94,26.15,26.45,130265661.0,2020-03-04 22:00:00
23,25.25,25.84,25.03,25.55,160607013.0,2020-03-05 22:00:00
24,23.0,23.88,22.52,22.81,134165747.0,2020-03-08 22:00:00
25,23.87,24.17,22.84,24.15,149282272.0,2020-03-09 22:00:00
26,23.41,23.65,22.52,22.84,146956334.0,2020-03-10 22:00:00
27,20.94,22.21,20.3,20.37,161437526.0,2020-03-11 22:00:00
28,21.9,23.09,20.9,23.05,160945700.0,2020-03-12 22:00:00
29,19.35,21.34,18.93,19.89,110661583.0,2020-03-15 22:00:00
30,20.35,21.19,19.54,20.97,122295136.0,2020-03-16 22:00:00
31,19.65,20.05,18.28,19.19,145056421.0,2020-03-17 22:00:00
32,18.79,19.89,18.11,19.61,105652811.0,2020-03-18 22:00:00
33,19.82,19.92,18.67,18.91,157840916.0,2020-03-19 22:00:00
34,18.44,18.6,17.49,17.66,144547917.0,2020-03-22 22:00:00
35,18.71,19.96,18.575,19.85,158551111.0,2020-03-23 22:00:00
36,20.14,21.23,19.3874,20.39,162949598.0,2020-03-24 22:00:00
37,20.66,21.82,20.625,21.67,129753949.0,2020-03-25 22:00:00
38,20.79,21.67,20.55,21.01,109305622.0,2020-03-26 22:00:00
39,21.04,21.525,20.6,21.41,67297220.0,2020-03-29 22:00:00
40,21.21,21.45,20.635,20.82,83819894.0,2020-03-30 22:00:00
41,19.72,19.94,19.37,19.55,79185017.0,2020-03-31 22:00:00
42,19.43,20.2,19.365,20.04,68398263.0,2020-04-01 22:00:00
43,19.85,20.14,19.355,19.64,68418105.0,2020-04-02 22:00:00
44,20.62,21.2176,20.4716,21.05,69015063.0,2020-04-05 22:00:00
45,22.2,22.22,21.25,21.26,70950941.0,2020-04-06 22:00:00
46,21.58,22.33,21.34,22.19,80003402.0,2020-04-07 22:00:00
47,22.77,23.655,22.73,23.38,147892930.0,2020-04-08 22:00:00
48,23.31,23.33,22.325,22.53,66236307.0,2020-04-12 22:00:00
49,23.07,23.135,22.21,22.63,96168982.0,2020-04-13 22:00:00
50,21.73,21.86,21.54,21.65,63481951.0,2020-04-14 22:00:00
51,21.6,21.64,21.06,21.27,68907624.0,2020-04-15 22:00:00
52,22.1,22.515,21.92,22.39,88698630.0,2020-04-16 22:00:00
53,21.95,22.36,21.75,22.0,59063101.0,2020-04-19 22:00:00
54,21.33,21.71,21.21,21.29,71957895.0,2020-04-20 22:00:00
55,21.73,21.79,21.47,21.52,47510291.0,2020-04-21 22:00:00
56,21.58,21.86,21.4,21.43,71740225.0,2020-04-22 22:00:00
57,21.66,21.825,21.33,21.74,33836725.0,2020-04-23 22:00:00
58,21.96,22.6,21.92,22.48,109435148.0,2020-04-26 22:00:00
59,23.16,23.325,22.67,22.72,46452303.0,2020-04-27 22:00:00
60,23.42,23.655,23.18,23.38,70064449.0,2020-04-28 22:00:00
61,22.91,23.16,22.675,22.79,56745740.0,2020-04-29 22:00:00
62,22.25,22.31,21.9115,22.06,37534293.0,2020-04-30 22:00:00
