,open,high,low,close,volume,date
0,99.83,100.76,99.83,100.04,11851774.0,2020-02-02 22:00:00
1,101.29,102.21,101.27,101.8,9575109.0,2020-02-03 22:00:00
2,102.28,104.12,102.27,103.76,14131008.0,2020-02-04 22:00:00
3,104.24,104.24,103.395,103.85,6166481.0,2020-02-05 22:00:00
4,103.86,103.95,102.88,103.04,6057198.0,2020-02-06 22:00:00
5,102.66,103.59,102.58,103.59,4010061.0,2020-02-09 22:00:00
6,103.95,104.3,103.74,104.21,10277109.0,2020-02-10 22:00:00
7,104.6,104.84,103.92,104.34,4705691.0,2020-02-11 22:00:00
8,103.96,104.28,103.64,103.85,4778509.0,2020-02-12 22:00:00
9,103.96,104.0,103.42,103.93,5114244.0,2020-02-13 22:00:00
10,103.93,104.06,103.22,103.56,8409262.0,2020-02-17 22:00:00
11,103.83,104.19,103.73,104.04,6427863.0,2020-02-18 22:00:00
12,103.8,103.9,102.43,103.37,8080943.0,2020-02-19 22:00:00
13,102.97,103.53,102.61,103.43,6510864.0,2020-02-20 22:00:00
14,100.93,101.61,99.69,100.17,16284584.0,2020-02-23 22:00:00
15,100.53,100.75,96.79,97.13,20301851.0,2020-02-24 22:00:00
16,97.67,98.82,96.91,97.12,13721649.0,2020-02-25 22:00:00
17,96.07,97.34,93.8,93.82,22047900.0,2020-02-26 22:00:00
18,91.35,92.6625,89.98,92.61,27751750.0,2020-02-27 22:00:00
19,92.64,97.1,92.32,96.95,22359393.0,2020-03-01 22:00:00
20,97.19,98.89,93.27,94.54,33385475.0,2020-03-02 22:00:00
21,97.38,100.15,97.18,99.99,26419021.0,2020-03-03 22:00:00
22,97.85,99.19,96.56,97.67,17873011.0,2020-03-04 22:00:00
23,94.99,97.5,94.6,97.15,17917672.0,2020-03-05 22:00:00
24,91.39,94.28,90.01,92.1,21968483.0,2020-03-08 22:00:00
25,94.76,95.4201,90.94,95.26,26473553.0,2020-03-09 22:00:00
26,93.01,93.67,90.45,91.62,23217955.0,2020-03-10 22:00:00
27,86.01,89.73,82.9,84.78,20650836.0,2020-03-11 22:00:00
28,88.72,90.9,84.16,90.66,29162790.0,2020-03-12 22:00:00
29,82.52,87.05,80.67,81.72,21474783.0,2020-03-15 22:00:00
30,83.41,87.55,82.35,86.85,27899728.0,2020-03-16 22:00:00
