,open,high,low,close,volume,date,,,
1,160.3,160.88,159.43,159.71,733753,12/1/2021 6:30,,,1.45
2,159.71,159.72,158.93,159.1499,310855,12/1/2021 6:31,-0.003507,,0.79
3,159.15,159.8538,158.791,159.2592,271013,12/1/2021 6:32,0.000687,,1.0628
4,159.26,159.87,159.15,159.4,259294,12/1/2021 6:33,0.000884,,0.72
5,159.4,159.75,159.1717,159.471,207066,12/1/2021 6:34,0.000445,,0.5783
6,159.44,160.3,159.26,160.25,296885,12/1/2021 6:35,0.004885,160.01476,1.04
7,160.17,160.65,159.8,160.36,329934,12/1/2021 6:36,0.000686,159.89876,0.85
8,160.3201,160.42,159.745,159.98,244670,12/1/2021 6:37,-0.002370,160.08476,0.675
9,159.96,160.23,159.541,159.64,217388,12/1/2021 6:38,-0.002125,160.198,0.689
10,159.61,159.82,158.6,158.62,312334,12/1/2021 6:39,-0.006389,160.27,1.22
11,158.6399,158.68,157.79,157.85,393852,12/1/2021 6:40,-0.004854,160.284,0.89
12,157.82,158.21,157.34,158.095,357645,12/1/2021 6:41,0.001552,159.96,0.87
13,158.095,158.5799,157.8,158.5299,310182,12/1/2021 6:42,0.002751,159.472,0.7799
14,158.5499,158.58,158.0001,158.48,207790,12/1/2021 6:43,-0.000315,159.10398,0.5799
15,158.47,158.79,158.3516,158.62,242408,12/1/2021 6:44,0.000883,158.77398,0.4384
16,158.55,158.9,158.3,158.88,173271,12/1/2021 6:45,0.001639,158.56798,0.6
17,158.8983,158.99,158.4715,158.5999,208262,12/1/2021 6:46,-0.001763,158.61198,0.5185
18,158.565,159.07,158.24,158.615,201680,12/1/2021 6:47,0.000095,158.76798,0.83
19,158.645,158.78,158.28,158.36,140954,12/1/2021 6:48,-0.001608,158.866,0.5
20,158.36,158.5399,158.1,158.3429,146968,12/1/2021 6:49,-0.000108,158.906,0.4399
21,158.31,158.7699,158.2113,158.5914,135615,12/1/2021 6:50,0.001569,158.85598,0.5586
22,158.66,158.92,158.4,158.6072,188897,12/1/2021 6:51,0.000100,158.82996,0.52
23,158.575,158.7,158.2,158.615,171830,12/1/2021 6:52,0.000049,158.81596,0.5
24,158.5601,159.28,158.44,159.11,204224,12/1/2021 6:53,0.003121,158.74196,0.84
25,159.14,159.26,158.72,158.94,203920,12/1/2021 6:54,-0.001068,158.84196,0.54
26,158.96,159.04,158.79,158.83,115838,12/1/2021 6:55,-0.000692,158.98598,0.25
27,158.8432,158.98,158.521,158.9712,176333,12/1/2021 6:56,0.000889,159.04,0.459
28,158.98,159.41,158.8571,159.41,254466,12/1/2021 6:57,0.002760,159.052,0.5529
29,159.39,159.97,159.25,159.86,277172,12/1/2021 6:58,0.002823,159.194,0.72
30,159.88,160.26,159.75,160.26,324551,12/1/2021 6:59,0.002502,159.332,0.51
31,160.26,160.42,159.9,160.2,330265,12/1/2021 7:00,-0.000374,159.532,0.52
32,160.17,160.39,159.88,160.3501,242980,12/1/2021 7:01,0.000937,159.808,0.51
33,160.35,160.4133,159.9101,160.075,204724,12/1/2021 7:02,-0.001716,160.09,0.5032
34,160.08,160.16,159.9217,160.02,107187,12/1/2021 7:03,-0.000344,160.29066,0.2383
35,160.045,160.1199,159.32,159.46,258694,12/1/2021 7:04,-0.003500,160.32866,0.7999
36,159.48,159.4913,158.93,159.198,216232,12/1/2021 7:05,-0.001643,160.30064,0.5613
37,159.1373,159.34,159.12,159.28,109428,12/1/2021 7:06,0.000515,160.1149,0.22
38,159.281,159.85,159.28,159.74,182539,12/1/2021 7:07,0.002888,159.9049,0.57
39,159.73,159.79,159.42,159.755,107271,12/1/2021 7:08,0.000094,159.79224,0.37
40,159.73,159.77,159.5301,159.61,82755,12/1/2021 7:09,-0.000908,159.71824,0.2399
41,159.64,159.75,159.29,159.51,113977,12/1/2021 7:10,-0.000627,159.64826,0.46
42,159.5073,159.7,159.39,159.7,102823,12/1/2021 7:11,0.001191,159.7,0.31
43,159.6888,159.7,159.4401,159.4401,64813,12/1/2021 7:12,-0.001627,159.772,0.2599
44,159.4401,159.53,159.12,159.4194,128305,12/1/2021 7:13,-0.000130,159.742,0.41
45,159.43,159.45,159.1,159.2318,100564,12/1/2021 7:14,-0.001177,159.69,0.35
46,159.2411,159.51,158.9,158.9797,231687,12/1/2021 7:15,-0.001583,159.626,0.61
47,158.9795,159.27,158.85,158.9001,110476,12/1/2021 7:16,-0.000501,159.578,0.42
48,158.94,158.94,158.46,158.645,210584,12/1/2021 7:17,-0.001605,159.492,0.48
49,158.65,158.8499,158.3001,158.44,174182,12/1/2021 7:18,-0.001292,159.34,0.5498
50,158.4524,158.82,158.34,158.385,155721,12/1/2021 7:19,-0.000347,159.20398,0.48
51,158.4,158.57,158.27,158.28,153077,12/1/2021 7:20,-0.000663,159.07798,0.3
52,158.285,158.31,157.61,157.6999,236876,12/1/2021 7:21,-0.003665,158.88998,0.7
53,157.6999,157.89,157.6,157.68,164979,12/1/2021 7:22,-0.000126,158.69798,0.29
54,157.72,157.94,157.66,157.8612,141388,12/1/2021 7:23,0.001149,158.48798,0.28
55,157.8301,158,157.8,157.92,115055,12/1/2021 7:24,0.000372,158.306,0.2
56,157.92,158.45,157.88,158.3699,206877,12/1/2021 7:25,0.002849,158.142,0.57
57,158.36,158.55,158.195,158.3901,142385,12/1/2021 7:26,0.000128,158.118,0.355
58,158.4263,158.45,158.01,158.305,144464,12/1/2021 7:27,-0.000537,158.166,0.44
59,158.27,158.39,158.1132,158.2,117700,12/1/2021 7:28,-0.000663,158.278,0.2768
60,158.15,158.25,157.8,157.9125,130801,12/1/2021 7:29,-0.001817,158.368,0.45
61,157.8801,158.08,157.78,157.79,122151,12/1/2021 7:30,-0.000776,158.418,0.3
62,157.815,158.1,157.7,158.03,102679,12/1/2021 7:31,0.001521,158.344,0.4
63,158.065,158.1999,157.75,157.8599,116123,12/1/2021 7:32,-0.001076,158.254,0.4499
64,157.835,158.0955,157.7,157.97,138945,12/1/2021 7:33,0.000697,158.20398,0.3955
65,157.95,157.97,157.41,157.7599,283858,12/1/2021 7:34,-0.001330,158.14508,0.56
66,157.775,157.9842,157.75,157.97,104332,12/1/2021 7:35,0.001332,158.08908,0.2342
67,157.89,157.95,157.76,157.79,75348,12/1/2021 7:36,-0.001139,158.06992,0.19
68,157.84,158.2,157.73,157.9797,144528,12/1/2021 7:37,0.001202,158.03992,0.47
69,157.9846,158.16,157.78,157.855,91211,12/1/2021 7:38,-0.000789,158.03994,0.38
70,157.87,157.89,157.25,157.2531,192903,12/1/2021 7:39,-0.003813,158.05284,0.64
71,157.25,157.27,156.99,157.2101,259625,12/1/2021 7:40,-0.000273,158.03684,0.28
72,157.26,157.7,157.22,157.65,150425,12/1/2021 7:41,0.002798,157.894,0.48
73,157.6594,157.78,157.46,157.65,91694,12/1/2021 7:42,0.000000,157.844,0.32
74,157.7,157.95,157.57,157.92,197882,12/1/2021 7:43,0.001713,157.76,0.38
75,157.9,158.17,157.87,157.9124,152980,12/1/2021 7:44,-0.000048,157.718,0.3
76,157.915,158.03,157.85,157.925,72005,12/1/2021 7:45,0.000080,157.774,0.18
77,157.875,158.46,157.875,158.3499,124714,12/1/2021 7:46,0.002691,157.926,0.585
78,158.3,158.64,158.14,158.615,125277,12/1/2021 7:47,0.001674,158.078,0.5
79,158.6322,158.87,158.58,158.74,128996,12/1/2021 7:48,0.000788,158.25,0.29
80,158.71,158.81,158.521,158.66,93621,12/1/2021 7:49,-0.000504,158.434,0.289
81,158.6601,158.87,158.59,158.66,103455,12/1/2021 7:50,0.000000,158.562,0.28
82,158.7029,158.81,158.66,158.8,81690,12/1/2021 7:51,0.000882,158.73,0.15
83,158.78,159.0299,158.7191,158.86,107939,12/1/2021 7:52,0.000378,158.8,0.3108
84,158.91,158.91,158.71,158.84,105840,12/1/2021 7:53,-0.000126,158.87798,0.2
85,158.8,159,158.71,158.86,86751,12/1/2021 7:54,0.000126,158.88598,0.29
86,158.88,159.04,158.77,158.865,137362,12/1/2021 7:55,0.000031,158.92398,0.27
87,158.86,158.95,158.52,158.7244,189551,12/1/2021 7:56,-0.000885,158.95798,0.43
88,158.7201,158.96,158.63,158.91,90797,12/1/2021 7:57,0.001169,158.98598,0.33
89,158.905,159.0161,158.8613,158.9523,97038,12/1/2021 7:58,0.000266,158.972,0.1548
90,158.945,159.28,158.945,159.21,156615,12/1/2021 7:59,0.001621,158.99322,0.335
91,159.21,159.385,159.02,159.15,178220,12/1/2021 8:00,-0.000377,159.04922,0.365
92,159.1402,159.25,158.91,158.99,123251,12/1/2021 8:01,-0.001005,159.11822,0.34
93,158.97,159.06,158.8508,158.9,90873,12/1/2021 8:02,-0.000566,159.17822,0.2092
94,158.8746,158.9606,158.6701,158.945,134814,12/1/2021 8:03,0.000283,159.19822,0.2905
95,158.97,159.1,158.7101,158.8222,95724,12/1/2021 8:04,-0.000773,159.18712,0.3899
96,158.77,158.77,158.3,158.4899,153497,12/1/2021 8:05,-0.002092,159.15112,0.47
97,158.457,158.76,158.39,158.7135,72070,12/1/2021 8:06,0.001411,159.02812,0.37
98,158.72,158.77,158.5593,158.65,29338,12/1/2021 8:07,-0.000400,158.93012,0.2107
99,158.6392,158.73,158.5819,158.64,63919,12/1/2021 8:08,-0.000063,158.87212,0.1481
100,158.64,158.76,158.58,158.59,35087,12/1/2021 8:09,-0.000315,158.826,0.18
101,158.62,158.88,158.5239,158.8401,70156,12/1/2021 8:10,0.001577,158.758,0.3561
102,158.8799,159.39,158.8661,159.22,332863,12/1/2021 8:11,0.002392,158.78,0.5239
103,159.22,159.35,159.17,159.22,112899,12/1/2021 8:12,0.000000,158.906,0.18
104,159.2599,159.35,159.18,159.25,76479,12/1/2021 8:13,0.000188,159.022,0.17
105,159.25,159.27,159.12,159.2125,66062,12/1/2021 8:14,-0.000235,159.146,0.15
106,159.21,159.21,158.9201,159.0077,86734,12/1/2021 8:15,-0.001286,159.248,0.2899
107,158.9901,159.18,158.82,158.985,73807,12/1/2021 8:16,-0.000143,159.314,0.36
108,158.985,159.3,158.95,159.0499,81218,12/1/2021 8:17,0.000408,159.272,0.35
109,159.03,159.2599,159.01,159.08,69818,12/1/2021 8:18,0.000189,159.262,0.2499
110,159.105,159.34,159.0801,159.19,71748,12/1/2021 8:19,0.000691,159.24398,0.2599
111,159.2182,159.22,158.81,158.86,98704,12/1/2021 8:20,-0.002073,159.25798,0.41
112,158.85,159.7699,158.84,159.57,290006,12/1/2021 8:21,0.004469,159.25998,0.9299
113,159.5985,159.6999,159.16,159.1999,110072,12/1/2021 8:22,-0.002319,159.37796,0.5399
114,159.18,159.3,158.96,159.01,81288,12/1/2021 8:23,-0.001193,159.45794,0.34
115,158.94,159.08,158.9113,159.0096,70779,12/1/2021 8:24,-0.000003,159.46596,0.1687
116,159.0247,159.12,158.92,159,51595,12/1/2021 8:25,-0.000060,159.41396,0.2
117,158.98,159,158.7,158.7301,93126,12/1/2021 8:26,-0.001697,159.39396,0.3
118,158.73,158.8299,158.48,158.5668,84901,12/1/2021 8:27,-0.001029,159.23998,0.3499
119,158.54,158.5899,158.37,158.52,92898,12/1/2021 8:28,-0.000295,159.06598,0.2199
120,158.515,158.69,158.455,158.4601,91966,12/1/2021 8:29,-0.000378,158.92396,0.235
121,158.49,158.74,158.45,158.49,76803,12/1/2021 8:30,0.000189,158.84596,0.29
122,158.51,158.56,157.87,157.948,230621,12/1/2021 8:31,-0.003420,158.76996,0.69
123,157.9086,158.11,157.66,158.075,189591,12/1/2021 8:32,0.000804,158.68196,0.45
124,158.1117,158.41,157.98,158.235,97401,12/1/2021 8:33,0.001012,158.53798,0.43
125,158.2,158.2328,158.01,158.08,66948,12/1/2021 8:34,-0.000980,158.502,0.2228
126,158.09,158.4199,158.09,158.33,69717,12/1/2021 8:35,0.001581,158.41056,0.3299
127,158.3216,158.51,158.28,158.42,94702,12/1/2021 8:36,0.000568,158.34654,0.23
128,158.51,158.51,158.1,158.13,78740,12/1/2021 8:37,-0.001831,158.33654,0.41
129,158.18,158.18,157.92,157.975,56746,12/1/2021 8:38,-0.000980,158.41654,0.26
130,158,158.4,157.9912,158.355,72658,12/1/2021 8:39,0.002405,158.37054,0.4088
131,158.39,158.4,158.18,158.34,57550,12/1/2021 8:40,-0.000095,158.40398,0.22
132,158.36,158.4914,158.14,158.14,82068,12/1/2021 8:41,-0.001263,158.4,0.3514
133,158.15,158.23,158.07,158.1491,56214,12/1/2021 8:42,0.000058,158.39628,0.16
134,158.16,158.2597,158.08,158.13,44165,12/1/2021 8:43,-0.000121,158.34028,0.1797
135,158.135,158.2,157.895,157.905,108714,12/1/2021 8:44,-0.001423,158.35622,0.305
136,157.9,157.94,157.6,157.84,124272,12/1/2021 8:45,-0.000412,158.31622,0.34
137,157.8,158.05,157.78,157.9,60079,12/1/2021 8:46,0.000380,158.22422,0.27
138,157.95,158.04,157.9097,157.96,60717,12/1/2021 8:47,0.000380,158.13594,0.1303
139,157.985,158.38,157.93,158.36,115072,12/1/2021 8:48,0.002532,158.09794,0.45
140,158.3723,158.45,158.27,158.3,91572,12/1/2021 8:49,-0.000379,158.122,0.18
141,158.29,158.29,158.03,158.06,89211,12/1/2021 8:50,-0.001516,158.172,0.26
142,158.04,158.15,157.85,158.01,77340,12/1/2021 8:51,-0.000316,158.242,0.3
143,157.99,158.05,157.86,157.867,26817,12/1/2021 8:52,-0.000905,158.262,0.19
144,157.89,157.9759,157.66,157.9759,71824,12/1/2021 8:53,0.000690,158.264,0.3159
145,157.93,157.97,157.8413,157.85,44649,12/1/2021 8:54,-0.000797,158.18318,0.1287
146,157.8621,157.87,157.44,157.5581,113214,12/1/2021 8:55,-0.001849,158.08718,0.43
147,157.57,157.6097,157.43,157.53,69507,12/1/2021 8:56,-0.000178,158.00318,0.1797
148,157.54,157.54,157.09,157.0955,121108,12/1/2021 8:57,-0.002758,157.89512,0.45
149,157.1,157.13,156.82,157.05,190635,12/1/2021 8:58,-0.000290,157.79312,0.31
150,156.99,157.34,156.9,157.2773,143676,12/1/2021 8:59,0.001447,157.62394,0.44
151,157.25,157.37,157.06,157.3199,91988,12/1/2021 9:00,0.000271,157.49794,0.31
152,157.32,157.52,157.14,157.475,92322,12/1/2021 9:01,0.000986,157.39794,0.38
153,157.49,157.73,157.41,157.67,99281,12/1/2021 9:02,0.001238,157.38,0.32
154,157.67,157.79,157.55,157.55,78143,12/1/2021 9:03,-0.000761,157.418,0.24
155,157.55,157.6499,157.36,157.5799,75737,12/1/2021 9:04,0.000190,157.55,0.2899
156,157.52,157.88,157.45,157.81,88536,12/1/2021 9:05,0.001460,157.61198,0.43
157,157.84,157.87,157.49,157.62,71181,12/1/2021 9:06,-0.001204,157.71398,0.38
158,157.61,157.62,157.17,157.17,87136,12/1/2021 9:07,-0.002855,157.78398,0.45
159,157.15,157.449,157.07,157.37,71784,12/1/2021 9:08,0.001273,157.76198,0.379
160,157.34,157.43,157.14,157.3498,103329,12/1/2021 9:09,-0.000128,157.69378,0.29
161,157.3399,157.5,157.2,157.3,55882,12/1/2021 9:10,-0.000316,157.6498,0.3
162,157.28,157.4199,157.25,157.25,49625,12/1/2021 9:11,-0.000318,157.5738,0.1699
163,157.29,157.3999,157.11,157.16,62534,12/1/2021 9:12,-0.000572,157.48378,0.2899
164,157.17,157.3299,157.11,157.1801,80461,12/1/2021 9:13,0.000128,157.43976,0.2199
165,157.2299,157.24,156.88,156.95,135831,12/1/2021 9:14,-0.001464,157.41594,0.36
166,156.97,157.64,156.9,157.6122,219508,12/1/2021 9:15,0.004219,157.37794,0.74
167,157.65,157.8399,157.43,157.695,101226,12/1/2021 9:16,0.000525,157.40594,0.4099
168,157.6604,157.68,157.5,157.5111,60615,12/1/2021 9:17,-0.001166,157.48994,0.18
169,157.54,157.66,157.52,157.585,87089,12/1/2021 9:18,0.000469,157.54596,0.14
170,157.595,157.65,157.48,157.54,48591,12/1/2021 9:19,-0.000286,157.61198,0.17
171,157.56,157.75,157.5069,157.6,65662,12/1/2021 9:20,0.000381,157.69398,0.2431
172,157.6129,157.64,157.25,157.34,124825,12/1/2021 9:21,-0.001650,157.71598,0.39
173,157.3596,157.4199,157.18,157.26,82252,12/1/2021 9:22,-0.000508,157.676,0.2399
174,157.28,157.5499,157.26,157.5499,59729,12/1/2021 9:23,0.001843,157.62398,0.2899
175,157.525,157.68,157.3,157.3246,64979,12/1/2021 9:24,-0.001430,157.60196,0.38
176,157.375,157.57,157.375,157.4,32864,12/1/2021 9:25,0.000479,157.60796,0.195
177,157.4518,157.4518,157.22,157.245,48387,12/1/2021 9:26,-0.000985,157.57196,0.2318
178,157.25,157.32,157.16,157.18,42981,12/1/2021 9:27,-0.000413,157.53432,0.16
179,157.2123,157.2199,156.9101,156.98,57844,12/1/2021 9:28,-0.001272,157.51434,0.3098
180,156.98,157.13,156.87,156.9952,71207,12/1/2021 9:29,0.000097,157.44834,0.26
181,157.02,157.245,156.97,156.995,114090,12/1/2021 9:30,-0.000001,157.33834,0.275
